"","RAL","wolb","weight.5.flies","trt","day","PC1","PC2","PC3","Code"
"165","RAL_352","y",1.053,"a","b",6.4581894791,25.4450967128,-32.3191301478,"20BA"
"166","RAL_352","y",1.149,"a","b",6.4581894791,25.4450967128,-32.3191301478,"20BA"
"167","RAL_352","y",1.141,"b","b",6.4581894791,25.4450967128,-32.3191301478,"20BB"
"168","RAL_352","y",1.186,"b","b",6.4581894791,25.4450967128,-32.3191301478,"20BB"
"169","RAL_352","y",1.186,"b","b",6.4581894791,25.4450967128,-32.3191301478,"20BB"
"170","RAL_352","y",1.117,"a","b",6.4581894791,25.4450967128,-32.3191301478,"20BA"
"171","RAL_357","n",1.463,"b","c",0.7079289763,-0.404120437,5.1727841738,"8CB"
"172","RAL_357","n",1.697,"b","c",0.7079289763,-0.404120437,5.1727841738,"8CB"
"173","RAL_357","n",1.334,"a","c",0.7079289763,-0.404120437,5.1727841738,"8CA"
"174","RAL_357","n",1.439,"b","c",0.7079289763,-0.404120437,5.1727841738,"8CB"
"175","RAL_357","n",1.31,"a","c",0.7079289763,-0.404120437,5.1727841738,"8CA"
"176","RAL_357","n",1.237,"a","c",0.7079289763,-0.404120437,5.1727841738,"8CA"
"177","RAL_358","n",1.138,"a","d",4.1448833406,15.8209609883,-11.8793299434,"17DA"
"178","RAL_358","n",1.087,"a","d",4.1448833406,15.8209609883,-11.8793299434,"17DA"
"179","RAL_358","n",1.253,"b","d",4.1448833406,15.8209609883,-11.8793299434,"17DB"
"180","RAL_358","n",1.215,"b","d",4.1448833406,15.8209609883,-11.8793299434,"17DB"
"181","RAL_358","n",1.164,"a","d",4.1448833406,15.8209609883,-11.8793299434,"17DA"
"182","RAL_358","n",1.235,"b","d",4.1448833406,15.8209609883,-11.8793299434,"17DB"
"183","RAL_360","y",1.217,"a","c",3.9540966412,-4.9331006533,4.971154244,"11CA"
"184","RAL_360","y",1.148,"b","c",3.9540966412,-4.9331006533,4.971154244,"11CB"
"185","RAL_360","y",1.247,"a","c",3.9540966412,-4.9331006533,4.971154244,"11CA"
"186","RAL_360","y",1.124,"b","c",3.9540966412,-4.9331006533,4.971154244,"11CB"
"187","RAL_360","y",1.154,"b","c",3.9540966412,-4.9331006533,4.971154244,"11CB"
"188","RAL_360","y",1.315,"a","c",3.9540966412,-4.9331006533,4.971154244,"11CA"
"189","RAL_361","y",0.973,"a","c",-0.6055056132,-10.0253122536,4.8349772209,"6CA"
"190","RAL_361","y",0.966,"a","c",-0.6055056132,-10.0253122536,4.8349772209,"6CA"
"191","RAL_361","y",1.021,"b","c",-0.6055056132,-10.0253122536,4.8349772209,"6CB"
"192","RAL_361","y",0.934,"a","c",-0.6055056132,-10.0253122536,4.8349772209,"6CA"
