dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
908,L,1,20,7,,,13,0.35,3,4
908,L,2,20,7,,,13,0.35,1,6
908,L,3,20,7,,,13,0.35,4,3
908,L,4,20,15,,,5,0.75,6,9
908,L,5,20,15,,,5,0.75,7,8
913,L,1,20,14,,,6,0.7,3,11
913,L,2,20,15,,,5,0.75,6,9
913,L,3,20,14,,,6,0.7,3,11
913,L,4,20,19,,,1,0.95,8,11
913,L,5,20,18,,,2,0.9,8,10
149,A,1,17,13,8,9,4,0.764705882,5,8
149,A,2,15,10,6,9,5,0.666666667,2,8
149,A,3,16,7,6,10,9,0.4375,1,6
149,A,4,16,6,6,10,10,0.375,1,5
149,A,5,20,12,10,10,8,0.6,5,7
208,A,1,18,11,8,10,7,0.611111111,6,5
208,A,2,19,6,10,9,13,0.315789474,3,3
208,A,3,20,14,10,10,6,0.7,7,7
208,A,4,20,12,10,10,8,0.6,2,10
208,A,5,20,17,10,10,3,0.85,10,7
301,A,1,14,10,5,9,4,0.714285714,2,8
301,A,2,20,12,10,10,8,0.6,3,9
301,A,3,20,11,10,10,9,0.55,2,9
301,A,4,20,6,10,10,14,0.3,1,5
301,A,5,20,6,10,10,14,0.3,2,4
303,A,1,14,8,5,9,6,0.571428571,0,8
303,A,2,17,6,8,9,11,0.352941176,3,3
303,A,3,20,6,10,10,14,0.3,2,4
303,A,4,20,4,10,10,16,0.2,1,3
303,A,5,20,17,10,10,3,0.85,8,9
304,A,1,19,11,9,10,8,0.578947368,3,8
304,A,2,18,6,9,9,12,0.333333333,0,6
304,A,3,20,8,10,10,12,0.4,1,7
304,A,4,20,11,10,10,9,0.55,1,10
304,A,5,20,7,10,10,13,0.35,2,5
307,A,1,19,2,9,10,17,0.105263158,0,2
307,A,2,20,0,10,10,20,0,0,0
307,A,3,16,0,8,8,16,0,0,0
307,A,4,20,6,10,10,14,0.3,1,5
307,A,5,20,1,10,10,19,0.05,0,1
313,A,1,20,19,10,10,1,0.95,10,9
313,A,2,16,0,8,8,16,0,0,0
313,A,3,20,8,10,10,12,0.4,8,0
313,A,4,19,8,9,10,11,0.421052632,8,0
313,A,5,20,6,10,10,14,0.3,4,2
315,A,1,20,19,10,10,1,0.95,9,10
315,A,2,16,11,10,6,5,0.6875,7,4
315,A,3,19,12,10,9,7,0.631578947,5,7
315,A,4,20,10,10,10,10,0.5,0,10
315,A,5,20,7,10,10,13,0.35,0,7
335,A,1,20,8,10,10,12,0.4,0,8
335,A,2,19,3,9,10,16,0.157894737,0,3
335,A,3,20,2,10,10,18,0.1,0,2
335,A,4,20,4,10,10,16,0.2,0,4
335,A,5,17,2,7,10,15,0.117647059,0,2
356,A,1,19,11,9,10,8,0.578947368,6,5
356,A,2,20,6,10,10,14,0.3,4,2
356,A,3,20,10,10,10,10,0.5,6,4
356,A,4,20,7,10,10,13,0.35,5,2
356,A,5,20,1,10,10,19,0.05,1,0
357,A,1,14,7,5,9,7,0.5,0,7
