dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
356,L,5,20,8,,,12,0.4,6,2
357,L,1,20,4,,,16,0.2,2,2
357,L,2,20,14,,,6,0.7,9,5
357,L,3,20,13,,,7,0.65,8,5
357,L,4,20,14,,,6,0.7,5,9
357,L,5,20,8,,,12,0.4,3,5
358,L,1,20,1,,,19,0.05,0,1
358,L,2,20,0,,,20,0,0,0
358,L,3,20,0,,,20,0,0,0
358,L,4,20,0,,,20,0,0,0
358,L,5,20,0,,,20,0,0,0
360,L,1,20,4,,,16,0.2,0,4
360,L,2,20,8,,,12,0.4,6,2
360,L,3,20,17,,,3,0.85,7,10
360,L,4,20,17,,,3,0.85,7,10
360,L,5,20,15,,,5,0.75,5,10
362,L,2,20,13,,,7,0.65,5,8
362,L,3,20,7,,,13,0.35,2,5
362,L,4,20,13,,,7,0.65,5,8
362,L,5,20,7,,,13,0.35,2,5
365,L,1,20,1,,,19,0.05,1,0
365,L,2,20,9,,,11,0.45,6,3
365,L,3,20,7,,,13,0.35,6,1
365,L,4,20,12,,,8,0.6,5,7
365,L,5,20,6,,,14,0.3,4,2
375,L,1,20,0,,,20,0,0,0
375,L,2,20,2,,,18,0.1,1,1
375,L,3,20,4,,,16,0.2,1,3
375,L,4,20,4,,,16,0.2,2,2
375,L,5,20,6,,,14,0.3,2,4
380,L,1,20,0,,,20,0,0,0
380,L,2,20,0,,,20,0,0,0
380,L,3,20,0,,,20,0,0,0
380,L,4,20,1,,,19,0.05,1,0
380,L,5,20,0,,,20,0,0,0
391,L,1,20,2,,,18,0.1,1,1
391,L,2,20,3,,,17,0.15,1,2
391,L,3,20,2,,,18,0.1,1,1
391,L,4,20,3,,,17,0.15,2,1
391,L,5,20,2,,,18,0.1,1,1
399,L,1,20,0,,,20,0,0,0
399,L,2,20,8,,,12,0.4,1,7
399,L,3,20,9,,,11,0.45,4,5
399,L,4,20,14,,,6,0.7,3,11
399,L,5,20,9,,,11,0.45,6,3
427,L,1,20,1,,,19,0.05,1,0
427,L,2,20,8,,,12,0.4,4,4
427,L,3,20,7,,,13,0.35,4,3
427,L,4,20,6,,,14,0.3,2,4
427,L,5,20,11,,,9,0.55,7,4
437,L,1,20,0,,,20,0,0,0
437,L,2,20,7,,,13,0.35,5,2
437,L,3,20,6,,,14,0.3,2,4
437,L,4,20,6,,,14,0.3,5,1
437,L,5,20,12,,,8,0.6,4,8
441,L,1,20,0,,,20,0,0,0
441,L,2,20,4,,,16,0.2,3,1
441,L,3,20,12,,,8,0.6,4,8
441,L,4,20,12,,,8,0.6,5,7
441,L,5,20,9,,,11,0.45,5,4
486,L,1,20,0,,,20,0,0,0
486,L,2,20,1,,,19,0.05,0,1
486,L,3,20,3,,,17,0.15,3,0
486,L,4,20,0,,,20,0,0,0
486,L,5,20,1,,,19,0.05,0,1
517,L,1,20,1,,,19,0.05,0,1
517,L,2,20,3,,,17,0.15,3,0
517,L,3,20,6,,,14,0.3,5,1
517,L,4,20,5,,,15,0.25,2,3
517,L,5,20,5,,,15,0.25,1,4
555,L,1,13,0,,,13,0,0,0
555,L,2,20,6,,,14,0.3,4,2
555,L,3,20,9,,,11,0.45,6,3
555,L,4,20,15,,,5,0.75,9,6
555,L,5,20,11,,,9,0.55,6,5
705,L,1,20,0,,,20,0,0,0
705,L,2,20,6,,,14,0.3,2,4
705,L,3,20,8,,,12,0.4,4,4
705,L,4,20,8,,,12,0.4,4,4
705,L,5,20,3,,,17,0.15,2,1
707,L,1,20,7,,,13,0.35,4,3
707,L,2,13,3,,,10,0.230769231,2,1
707,L,3,20,9,,,11,0.45,5,4
707,L,4,20,12,,,8,0.6,4,8
707,L,5,2,1,,,1,0.5,1,0
712,L,1,12,0,,,12,0,0,0
712,L,2,20,2,,,18,0.1,0,2
712,L,3,20,4,,,16,0.2,2,2
712,L,4,20,2,,,18,0.1,1,1
712,L,5,20,7,,,13,0.35,5,2
714,L,1,14,0,,,14,0,0,0
714,L,2,14,1,,,13,0.071428571,1,0
714,L,3,20,2,,,18,0.1,1,1
714,L,4,20,6,,,14,0.3,4,2
714,L,5,20,5,,,15,0.25,2,3
730,L,1,20,0,,,20,0,0,0
730,L,2,20,6,,,14,0.3,4,2
