line,Trait,trait_value
514,mitochondrial.PO.ratio.f,2.7057996689303647
517,mitochondrial.PO.ratio.f,2.689465015735691
555,mitochondrial.PO.ratio.f,2.602471730860493
639,mitochondrial.PO.ratio.f,2.6716581342507864
705,mitochondrial.PO.ratio.f,2.6906427810881883
707,mitochondrial.PO.ratio.f,2.582643048058263
712,mitochondrial.PO.ratio.f,2.7553791156236196
714,mitochondrial.PO.ratio.f,2.6471122133520364
730,mitochondrial.PO.ratio.f,2.692495474679159
732,mitochondrial.PO.ratio.f,2.663809921633165
765,mitochondrial.PO.ratio.f,2.65753343978788
774,mitochondrial.PO.ratio.f,2.660240437728405
786,mitochondrial.PO.ratio.f,2.5776183085953996
799,mitochondrial.PO.ratio.f,2.6572463196105445
820,mitochondrial.PO.ratio.f,2.7020384965322477
852,mitochondrial.PO.ratio.f,2.6543777313390526
859,mitochondrial.PO.ratio.f,2.682006075485421
208,mitochondrial.PO.ratio.m,2.765255655277816
301,mitochondrial.PO.ratio.m,2.565955439671761
303,mitochondrial.PO.ratio.m,2.64185852233441
304,mitochondrial.PO.ratio.m,2.5648261248386404
306,mitochondrial.PO.ratio.m,2.7084493381435353
307,mitochondrial.PO.ratio.m,2.9284046838892053
313,mitochondrial.PO.ratio.m,2.8111447373485596
315,mitochondrial.PO.ratio.m,2.4259001983897117
324,mitochondrial.PO.ratio.m,2.699590565448371
335,mitochondrial.PO.ratio.m,2.816800977840176
357,mitochondrial.PO.ratio.m,2.877719128919997
358,mitochondrial.PO.ratio.m,2.678553676305142
360,mitochondrial.PO.ratio.m,2.7693943771681027
362,mitochondrial.PO.ratio.m,2.686235241269541
365,mitochondrial.PO.ratio.m,2.450171078853166
375,mitochondrial.PO.ratio.m,2.775092911760785
379,mitochondrial.PO.ratio.m,2.5010851056431354
380,mitochondrial.PO.ratio.m,2.5122863555938455
391,mitochondrial.PO.ratio.m,2.514881045796604
399,mitochondrial.PO.ratio.m,2.8648408499834632
427,mitochondrial.PO.ratio.m,2.6122422461319386
437,mitochondrial.PO.ratio.m,2.724731794628318
486,mitochondrial.PO.ratio.m,2.802322912135781
514,mitochondrial.PO.ratio.m,2.7615926971525107
517,mitochondrial.PO.ratio.m,2.72246459687386
555,mitochondrial.PO.ratio.m,2.662956922935113
639,mitochondrial.PO.ratio.m,2.762110755457379
705,mitochondrial.PO.ratio.m,2.8051440939059713
707,mitochondrial.PO.ratio.m,2.6281410951886586
712,mitochondrial.PO.ratio.m,2.894286665669106
714,mitochondrial.PO.ratio.m,2.683990305715951
730,mitochondrial.PO.ratio.m,2.734719688415099
732,mitochondrial.PO.ratio.m,2.6756864886818215
765,mitochondrial.PO.ratio.m,2.6890138268756782
774,mitochondrial.PO.ratio.m,2.7451606815339207
786,mitochondrial.PO.ratio.m,2.5729923948713855
799,mitochondrial.PO.ratio.m,2.7167781827588806
820,mitochondrial.PO.ratio.m,2.8406430822518893
852,mitochondrial.PO.ratio.m,2.703894890318658
859,mitochondrial.PO.ratio.m,2.747668740272401
101,T1.leg.length.f,238.773078038034
105,T1.leg.length.f,238.55121353966217
109,T1.leg.length.f,237.44712006055934
129,T1.leg.length.f,238.02211689828192
136,T1.leg.length.f,244.43795246818567
138,T1.leg.length.f,239.45827590097966
142,T1.leg.length.f,241.74716029465475
149,T1.leg.length.f,235.10494358540177
153,T1.leg.length.f,243.02703910868837
158,T1.leg.length.f,240.1002949960709
161,T1.leg.length.f,238.28947758970423
176,T1.leg.length.f,235.9021996278716
177,T1.leg.length.f,237.35129705133494
181,T1.leg.length.f,235.9878411203217
195,T1.leg.length.f,240.87603458488078
208,T1.leg.length.f,232.07034810574558
21,T1.leg.length.f,238.86950303295313
217,T1.leg.length.f,237.4069503203083
227,T1.leg.length.f,236.14135365286273
228,T1.leg.length.f,239.33971493518683
229,T1.leg.length.f,238.55147537821665
233,T1.leg.length.f,240.62990752817709
235,T1.leg.length.f,241.1327472936185
237,T1.leg.length.f,238.703212061086
239,T1.leg.length.f,239.0215556602878
256,T1.leg.length.f,241.6701046309285
26,T1.leg.length.f,237.79662270635615
28,T1.leg.length.f,239.65530773515582
280,T1.leg.length.f,240.3107394649449
287,T1.leg.length.f,238.28081703509378
310,T1.leg.length.f,237.40011210280397
313,T1.leg.length.f,239.06320394095522
318,T1.leg.length.f,239.09077556879893
320,T1.leg.length.f,239.30426488934876
325,T1.leg.length.f,241.83934296866985
338,T1.leg.length.f,240.18069398703477
350,T1.leg.length.f,237.79577618203658
352,T1.leg.length.f,236.57424892816627
356,T1.leg.length.f,235.86521391572592
357,T1.leg.length.f,236.86172858030284
358,T1.leg.length.f,237.06261132645352
359,T1.leg.length.f,239.58624724085777
362,T1.leg.length.f,236.1011408355305
365,T1.leg.length.f,235.88540703626896
367,T1.leg.length.f,239.6441532444671
371,T1.leg.length.f,241.9994619158117
373,T1.leg.length.f,241.5033567229184
375,T1.leg.length.f,241.89384500440946
377,T1.leg.length.f,238.46301610771252
379,T1.leg.length.f,238.0616521919814
380,T1.leg.length.f,235.1869187513538
383,T1.leg.length.f,238.77304395986513
386,T1.leg.length.f,234.78057598087156
391,T1.leg.length.f,240.20759701039677
392,T1.leg.length.f,239.37595597928564
399,T1.leg.length.f,237.28216707631992
405,T1.leg.length.f,236.72724625708977
406,T1.leg.length.f,237.3763449189865
409,T1.leg.length.f,238.0390575667924
41,T1.leg.length.f,237.58082391251915
42,T1.leg.length.f,238.1447858316928
427,T1.leg.length.f,241.07466516709033
437,T1.leg.length.f,236.24588191292224
439,T1.leg.length.f,239.19891310015043
440,T1.leg.length.f,241.0063377308348
45,T1.leg.length.f,239.379926325928
49,T1.leg.length.f,241.58186473648527
492,T1.leg.length.f,240.6694891939536
513,T1.leg.length.f,233.99426085840355
