Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
287/,6/6/13,L,SF,26,13,16,20,39,36,0.222222222
287/,3/13/13,S,KA,27,13,21,12,40,33,0.038636364
287/,4/17/13,S,AR,38,8,23,6,46,29,0.032983508
287/,5/24/13,S,JG,22,15,15,12,37,27,0.039039039
301/,3/13/13,L,KA,15,10,18,17,25,35,0.085714286
301/,6/20/13,L,SF,23,12,21,9,35,30,-0.042857143
301/,6/25/13,L,MK,19,14,12,12,33,24,0.075757576
301/,3/13/13,S,KA,34,11,13,18,45,31,0.336200717
301/,6/20/13,S,SF,24,20,10,26,44,36,0.267676768
301/,6/25/13,S,MK,24,10,19,10,34,29,0.050709939
303/,2/7/13,L,MB,10,15,9,7,25,16,-0.1625
303/,6/26/13,L,MK,27,22,20,22,49,42,0.074829932
303/,7/1/13,L,MK,29,14,21,17,43,38,0.121787026
303/,2/7/13,S,MB,21,15,23,13,36,36,-0.055555556
303/,6/26/13,S,MK,30,16,21,13,46,34,0.034526854
303/,7/1/13,S,MK,26,16,16,23,42,39,0.208791209
306/,9/9/14,L,AS,26,13,30,11,39,41,-0.06504065
306/,10/1/14,L,AN,22,12,0,0,34,0,NA
306/,10/14/14,L,AS,24,10,15,7,34,22,0.024064171
306/,10/21/14,L,LH,22,14,8,12,36,20,0.211111111
306/,9/9/14,S,AS,31,11,23,16,42,39,0.148351648
306/,9/25/14,S,AZ,36,11,17,10,47,27,0.136327817
306/,10/1/14,S,AN,16,5,2,1,21,3,0.095238095
306/,10/9/14,S,AZ,37,5,6,2,42,8,0.130952381
306/,10/14/14,S,AS,13,11,11,12,24,23,0.063405797
307/,2/13/13,L,AR,27,11,12,13,38,25,0.230526316
307/,2/14/13,L,MB,21,21,9,11,42,20,0.05
307/,5/29/13,L,MK,21,18,13,17,39,30,0.105128205
307/,2/13/13,S,KA,24,16,17,19,40,36,0.127777778
307/,2/14/13,S,MB,31,9,16,28,40,44,0.411363636
307/,3/6/13,S,KA,25,17,19,9,42,28,-0.083333333
307/,4/12/13,S,KL,27,17,11,20,44,31,0.258797654
309/,10/18/12,L,NG,20,18,14,20,38,34,0.114551084
309/,6/26/13,L,MK,32,8,21,15,40,36,0.216666667
309/,8/7/12,S,EN,21,25,9,7,46,16,-0.105978261
309/,10/22/12,S,EN,25,17,13,14,42,27,0.113756614
309/,6/26/13,S,MK,26,11,15,19,37,34,0.261526232
309/,6/28/13,L,AN,39,2,12,16,41,28,0.522648084
313/,5/8/13,L,KA,32,13,30,12,45,42,-0.003174603
313/,6/10/13,L,AN,20,15,6,14,35,20,0.271428571
313/,6/11/13,L,MK,25,16,17,12,41,29,0.023549201
313/,4/23/12,S,EN,16,13,8,8,29,16,0.051724138
313/,5/8/13,S,KA,31,11,20,16,42,36,0.182539683
313/,6/10/13,S,AN,19,10,13,15,29,28,0.1908867
315/,9/17/13,L,AN,32,9,18,19,41,37,0.294001318
315/,9/20/13,L,DG,29,19,18,15,48,33,0.058712121
315/,11/5/13,L,DG,30,12,34,12,42,46,-0.02484472
315/,9/9/13,S,MK,23,21,24,16,44,40,-0.077272727
315/,9/20/13,S,DG,27,16,16,16,43,32,0.127906977
315/,9/27/13,S,DG,24,11,21,12,35,33,0.049350649
318/,2/13/14,L,GM,16,12,4,4,28,8,0.071428571
318/,5/27/14,L,JG,28,9,22,10,37,32,0.069256757
318/,7/8/14,L,AS,37,7,15,12,44,27,0.285353535
318/,8/20/14,L,AS,16,11,10,12,27,22,0.138047138
318/,1/7/14,S,AN,17,6,7,4,23,11,0.102766798
318/,6/19/14,S,EN,26,15,26,10,41,36,-0.088075881
318/,7/8/14,S,AS,21,17,25,11,38,36,-0.141812865
318/,8/15/14,S,JG,19,30,21,21,49,42,-0.112244898
321/,7/1/14,L,SF,27,15,5,15,42,20,0.392857143
321/,7/16/14,L,AS,23,13,22,16,36,38,0.05994152
321/,7/21/14,L,AS,17,14,19,11,31,30,-0.084946237
321/,8/12/14,L,AS,22,13,24,14,35,38,-0.003007519
321/,7/16/14,S,AS,25,13,18,17,38,35,0.143609023
321/,7/21/14,S,AS,20,18,17,10,38,27,-0.10331384
321/,8/12/14,S,AS,28,12,13,19,40,32,0.29375
324/,9/13/12,L,SL,27,18,9,6,45,15,0
324/,3/5/13,L,MB,27,7,6,8,34,14,0.365546218
324/,3/7/13,L,MB,27,15,6,11,42,17,0.289915966
324/,3/8/13,L,KL,22,9,12,10,31,22,0.164222874
324/,3/12/13,L,MB,30,12,11,15,42,26,0.291208791
324/,9/19/12,S,JZ,24,29,23,12,53,35,-0.204312668
324/,2/7/13,S,MB,12,13,4,4,25,8,-0.02
324/,3/5/13,S,MB,21,10,4,6,31,10,0.277419355
324/,3/7/13,S,MB,14,16,10,8,30,18,-0.088888889
324/,3/8/13,S,KL,27,14,8,15,41,23,0.310710498
324/,3/12/13,S,MB,23,22,24,17,45,41,-0.074254743
324/,2/13/14,S,GM,13,15,7,10,28,17,0.052521008
335/,9/12/12,L,JZ,21,17,13,12,38,25,0.032631579
335/,9/13/12,L,SL,22,14,7,16,36,23,0.306763285
335/,6/21/13,L,AN,30,13,19,14,43,33,0.121916843
335/,3/28/12,S,NG,29,15,12,9,44,21,0.087662338
