Line,Gender,Rep,st 3 (pmol/s*mg protein),st 4 (pmol/s*mg protein),po ratio,,,
335,F,3,814.70,261.69,3.02,,,
335,F,4,1062.12,323.97,2.72,,,
335,F,5,838.43,339.97,2.68,,,
335,F,6,1326.16,257.10,2.66,,,
357,F,1,3031.75,236.57,2.32,,,
357,F,2,1592.81,370.79,2.51,,,
357,F,3,1817.60,258.78,2.41,,,
357,F,4,2046.45,282.18,2.42,,,
357,F,5,1980.00,317.95,2.51,,,
357,F,6,1393.98,219.05,2.69,,,
357,F,7,1576.62,206.59,3.27,,,
358,F,1,2882.27,235.76,2.36,,,
358,F,2,2768.14,195.50,2.47,,,
358,F,3,2431.74,218.83,2.59,,,
358,F,4,2764.95,227.10,2.48,,,
358,F,5,1565.22,141.91,3.15,,,
358,F,6,2032.14,180.26,2.90,,,
358,F,7,2043.41,162.16,2.43,,,
360,F,1,2320.97,263.40,2.65,,,
360,F,2,2176.06,344.96,2.61,,,
360,F,3,2702.34,249.69,.,,,
360,F,4,1576.59,319.98,2.75,,,
360,F,5,1883.61,239.14,2.40,,,
360,F,6,1977.76,226.61,2.52,,,
360,F,7,1981.35,267.54,2.48,,,
360,F,8,1936.60,230.50,2.71,,,
360,F,9,1980.88,188.89,2.63,,,
360,F,10,1488.45,227.97,3.33,,,
362,F,1,2410.56,240.79,2.44,,,
362,F,2,3358.34,268.07,2.40,,,
362,F,3,1666.91,273.08,2.64,,,
362,F,4,2252.50,376.86,2.46,,,
362,F,5,2077.79,279.93,2.51,,,
362,F,6,2209.18,420.27,2.85,,,
362,F,7,1346.79,350.04,2.88,,,
362,F,8,1277.54,322.01,2.58,,,
365,F,1,2546.65,259.23,2.28,,,
365,F,2,2150.11,340.02,2.28,,,
365,F,3,2932.68,356.31,2.20,,,
365,F,4,2497.96,168.12,2.45,,,
365,F,5,2114.40,295.29,2.38,,,
365,F,6,1742.78,210.90,2.46,,,
375,F,1,2410.65,281.63,2.57,,,
375,F,2,2319.08,330.08,2.60,,,
375,F,3,2241.91,373.75,2.21,,,
375,F,4,2464.11,299.95,2.51,,,
375,F,5,2601.18,258.89,2.45,,,
375,F,6,1921.51,221.19,2.68,,,
375,F,7,1762.10,206.33,2.90,,,
379,F,1,2539.76,161.14,2.60,,,
379,F,2,3210.69,224.08,2.43,,,
379,F,3,2609.90,122.41,3.08,,,
379,F,4,2377.10,168.49,2.73,,,
379,F,5,3303.67,605.69,.,,,
379,F,6,2491.80,270.64,2.61,,,
379,F,7,3198.34,544.24,1.96,,,
380,F,1,2113.86,207.14,2.19,,,
380,F,2,1497.37,235.30,2.20,,,
380,F,3,1514.36,259.43,2.15,,,
380,F,4,844.09,209.26,.,,,
380,F,5,1009.64,132.50,2.86,,,
380,F,6,1635.71,241.72,2.28,,,
380,F,7,883.71,282.13,2.92,,,
391,F,1,1494.02,260.23,3.00,,,
391,F,2,2168.60,311.38,2.39,,,
391,F,3,2513.90,309.92,2.46,,,
391,F,4,2653.00,317.44,2.57,,,
391,F,5,2040.73,270.79,2.30,,,
391,F,6,1566.77,301.06,2.27,,,
391,F,7,1830.14,168.14,2.68,,,
399,F,1,1398.64,293.51,.,,,
399,F,2,2689.83,311.33,2.37,,,
399,F,3,2792.48,315.97,2.33,,,
399,F,4,1893.34,392.55,3.17,,,
399,F,5,2558.13,150.86,2.58,,,
399,F,6,1609.14,192.33,3.13,,,
399,F,7,1976.02,175.49,2.60,,,
399,F,8,1711.88,221.52,3.06,,,
399,F,9,1099.36,190.90,3.10,,,
399,F,10,918.16,87.28,2.73,,,
427,F,1,2197.15,199.24,2.51,,,
427,F,2,2602.16,164.52,2.84,,,
427,F,3,3319.03,205.51,2.37,,,
427,F,4,2903.70,153.70,2.67,,,
427,F,5,2403.27,116.21,2.54,,,
427,F,6,2266.43,149.81,2.48,,,
427,F,7,2652.26,158.63,2.47,,,
427,F,8,2027.76,177.10,2.50,,,
427,F,9,1882.41,187.84,2.40,,,
437,F,1,2776.63,292.13,2.63,,,
437,F,2,1940.76,262.51,2.30,,,
437,F,3,2015.52,200.07,2.51,,,
437,F,4,3472.08,297.34,2.69,,,
437,F,5,1993.94,266.91,2.68,,,
437,F,6,3079.67,284.53,2.72,,,
437,F,7,1888.13,325.88,2.71,,,
486,F,1,2317.93,128.14,2.24,,,
486,F,2,1549.71,251.91,2.85,,,
486,F,3,2553.48,311.36,2.56,,,
486,F,4,1642.29,284.43,2.64,,,
486,F,5,2829.79,260.21,2.94,,,
486,F,6,3090.08,253.13,2.90,,,
486,F,7,1575.85,205.80,2.95,,,
