Line,Sex,value,trait.column,Injection.date,trait.column.sex
354,Female,29,Mortality,4/5/17,Female_Mortality
358,Female,23,Mortality,4/2/17,Female_Mortality
358,Female,23,Mortality,4/4/17,Female_Mortality
358,Female,19,Mortality,4/4/17,Female_Mortality
360,Female,33,Mortality,4/3/17,Female_Mortality
360,Female,35,Mortality,4/2/17,Female_Mortality
360,Female,31,Mortality,4/5/17,Female_Mortality
361,Female,21,Mortality,4/4/17,Female_Mortality
361,Female,17,Mortality,4/4/17,Female_Mortality
361,Female,19,Mortality,4/2/17,Female_Mortality
365,Female,39,Mortality,4/3/17,Female_Mortality
365,Female,35,Mortality,4/4/17,Female_Mortality
365,Female,29,Mortality,4/7/17,Female_Mortality
370,Female,23,Mortality,4/3/17,Female_Mortality
370,Female,23,Mortality,4/4/17,Female_Mortality
370,Female,21,Mortality,4/5/17,Female_Mortality
370,Female,23,Mortality,4/4/17,Female_Mortality
370,Female,23,Mortality,4/7/17,Female_Mortality
370,Female,15,Mortality,4/7/17,Female_Mortality
371,Female,23,Mortality,4/5/17,Female_Mortality
371,Female,27,Mortality,4/2/17,Female_Mortality
373,Female,31,Mortality,4/4/17,Female_Mortality
373,Female,31,Mortality,4/4/17,Female_Mortality
373,Female,35,Mortality,4/2/17,Female_Mortality
375,Female,37,Mortality,4/3/17,Female_Mortality
375,Female,15,Mortality,4/4/17,Female_Mortality
375,Female,25,Mortality,4/5/17,Female_Mortality
377,Female,35,Mortality,4/2/17,Female_Mortality
377,Female,33,Mortality,4/4/17,Female_Mortality
377,Female,29,Mortality,4/7/17,Female_Mortality
379,Female,29,Mortality,4/7/17,Female_Mortality
379,Female,29,Mortality,4/7/17,Female_Mortality
379,Female,25,Mortality,4/7/17,Female_Mortality
380,Female,31,Mortality,4/3/17,Female_Mortality
380,Female,17,Mortality,4/3/17,Female_Mortality
380,Female,31,Mortality,4/4/17,Female_Mortality
381,Female,31,Mortality,4/3/17,Female_Mortality
381,Female,33,Mortality,4/4/17,Female_Mortality
381,Female,27,Mortality,4/7/17,Female_Mortality
382,Female,19,Mortality,4/4/17,Female_Mortality
382,Female,17,Mortality,4/7/17,Female_Mortality
382,Female,25,Mortality,4/2/17,Female_Mortality
386,Female,25,Mortality,4/3/17,Female_Mortality
386,Female,21,Mortality,4/7/17,Female_Mortality
386,Female,21,Mortality,4/7/17,Female_Mortality
390,Female,33,Mortality,4/4/17,Female_Mortality
390,Female,29,Mortality,4/4/17,Female_Mortality
390,Female,37,Mortality,4/2/17,Female_Mortality
392,Female,33,Mortality,4/3/17,Female_Mortality
392,Female,21,Mortality,4/7/17,Female_Mortality
392,Female,19,Mortality,4/3/17,Female_Mortality
397,Female,27,Mortality,4/3/17,Female_Mortality
397,Female,25,Mortality,4/3/17,Female_Mortality
397,Female,23,Mortality,4/7/17,Female_Mortality
399,Female,27,Mortality,4/2/17,Female_Mortality
399,Female,25,Mortality,4/7/17,Female_Mortality
405,Female,23,Mortality,4/3/17,Female_Mortality
405,Female,27,Mortality,4/4/17,Female_Mortality
405,Female,27,Mortality,4/7/17,Female_Mortality
406,Female,23,Mortality,4/3/17,Female_Mortality
406,Female,25,Mortality,4/7/17,Female_Mortality
406,Female,29,Mortality,4/7/17,Female_Mortality
409,Female,35,Mortality,4/4/17,Female_Mortality
409,Female,29,Mortality,4/7/17,Female_Mortality
409,Female,33,Mortality,4/3/17,Female_Mortality
426,Female,27,Mortality,4/3/17,Female_Mortality
426,Female,19,Mortality,4/3/17,Female_Mortality
426,Female,23,Mortality,4/4/17,Female_Mortality
427,Female,7,Mortality,4/3/17,Female_Mortality
427,Female,21,Mortality,4/4/17,Female_Mortality
427,Female,23,Mortality,4/7/17,Female_Mortality
437,Female,21,Mortality,4/4/17,Female_Mortality
437,Female,35,Mortality,4/2/17,Female_Mortality
437,Female,25,Mortality,4/7/17,Female_Mortality
439,Female,19,Mortality,4/4/17,Female_Mortality
439,Female,27,Mortality,4/2/17,Female_Mortality
439,Female,23,Mortality,4/5/17,Female_Mortality
441,Female,31,Mortality,4/3/17,Female_Mortality
441,Female,29,Mortality,4/4/17,Female_Mortality
441,Female,9,Mortality,4/7/17,Female_Mortality
443,Female,33,Mortality,4/2/17,Female_Mortality
443,Female,33,Mortality,4/3/17,Female_Mortality
443,Female,31,Mortality,4/5/17,Female_Mortality
486,Female,23,Mortality,4/3/17,Female_Mortality
486,Female,33,Mortality,4/4/17,Female_Mortality
486,Female,21,Mortality,4/5/17,Female_Mortality
491,Female,21,Mortality,4/4/17,Female_Mortality
491,Female,19,Mortality,4/4/17,Female_Mortality
491,Female,25,Mortality,4/2/17,Female_Mortality
492,Female,31,Mortality,4/3/17,Female_Mortality
492,Female,35,Mortality,4/4/17,Female_Mortality
502,Female,29,Mortality,4/4/17,Female_Mortality
502,Female,23,Mortality,4/7/17,Female_Mortality
502,Female,27,Mortality,4/7/17,Female_Mortality
508,Female,29,Mortality,4/4/17,Female_Mortality
508,Female,21,Mortality,4/7/17,Female_Mortality
508,Female,29,Mortality,4/2/17,Female_Mortality
509,Female,17,Mortality,4/3/17,Female_Mortality
509,Female,21,Mortality,4/4/17,Female_Mortality
509,Female,15,Mortality,4/7/17,Female_Mortality
517,Female,23,Mortality,4/4/17,Female_Mortality
517,Female,23,Mortality,4/7/17,Female_Mortality
517,Female,27,Mortality,4/3/17,Female_Mortality
528,Female,15,Mortality,4/4/17,Female_Mortality
528,Female,21,Mortality,4/5/17,Female_Mortality
528,Female,21,Mortality,4/2/17,Female_Mortality
535,Female,31,Mortality,4/2/17,Female_Mortality
535,Female,25,Mortality,4/4/17,Female_Mortality
535,Female,27,Mortality,4/5/17,Female_Mortality
555,Female,31,Mortality,4/4/17,Female_Mortality
555,Female,25,Mortality,4/4/17,Female_Mortality
555,Female,37,Mortality,4/2/17,Female_Mortality
559,Female,33,Mortality,4/2/17,Female_Mortality
559,Female,31,Mortality,4/3/17,Female_Mortality
559,Female,27,Mortality,4/5/17,Female_Mortality
563,Female,27,Mortality,4/4/17,Female_Mortality
563,Female,15,Mortality,4/5/17,Female_Mortality
563,Female,27,Mortality,4/2/17,Female_Mortality
566,Female,31,Mortality,4/4/17,Female_Mortality
566,Female,27,Mortality,4/5/17,Female_Mortality
566,Female,35,Mortality,4/2/17,Female_Mortality
575,Female,21,Mortality,4/4/17,Female_Mortality
575,Female,21,Mortality,4/2/17,Female_Mortality
575,Female,11,Mortality,4/7/17,Female_Mortality
584,Female,27,Mortality,4/4/17,Female_Mortality
584,Female,31,Mortality,4/7/17,Female_Mortality
584,Female,33,Mortality,4/2/17,Female_Mortality
589,Female,29,Mortality,4/3/17,Female_Mortality
589,Female,15,Mortality,4/4/17,Female_Mortality
589,Female,9,Mortality,4/2/17,Female_Mortality
627,Female,29,Mortality,4/2/17,Female_Mortality
627,Female,27,Mortality,4/4/17,Female_Mortality
627,Female,27,Mortality,4/4/17,Female_Mortality
634,Female,35,Mortality,4/2/17,Female_Mortality
634,Female,27,Mortality,4/4/17,Female_Mortality
634,Female,23,Mortality,4/7/17,Female_Mortality
703,Female,17,Mortality,4/4/17,Female_Mortality
703,Female,17,Mortality,4/4/17,Female_Mortality
703,Female,23,Mortality,4/2/17,Female_Mortality
712,Female,31,Mortality,4/3/17,Female_Mortality
712,Female,31,Mortality,4/4/17,Female_Mortality
712,Female,27,Mortality,4/4/17,Female_Mortality
716,Female,25,Mortality,4/4/17,Female_Mortality
716,Female,21,Mortality,4/7/17,Female_Mortality
716,Female,29,Mortality,4/2/17,Female_Mortality
730,Female,25,Mortality,4/3/17,Female_Mortality
730,Female,23,Mortality,4/5/17,Female_Mortality
730,Female,13,Mortality,4/7/17,Female_Mortality
732,Female,21,Mortality,4/4/17,Female_Mortality
732,Female,15,Mortality,4/4/17,Female_Mortality
732,Female,25,Mortality,4/2/17,Female_Mortality
738,Female,17,Mortality,4/3/17,Female_Mortality
738,Female,19,Mortality,4/4/17,Female_Mortality
738,Female,13,Mortality,4/7/17,Female_Mortality
765,Female,31,Mortality,4/3/17,Female_Mortality
765,Female,33,Mortality,4/4/17,Female_Mortality
765,Female,27,Mortality,4/5/17,Female_Mortality
774,Female,25,Mortality,4/7/17,Female_Mortality
774,Female,23,Mortality,4/7/17,Female_Mortality
774,Female,9,Mortality,4/7/17,Female_Mortality
776,Female,29,Mortality,4/2/17,Female_Mortality
776,Female,23,Mortality,4/7/17,Female_Mortality
776,Female,23,Mortality,4/7/17,Female_Mortality
783,Female,23,Mortality,4/7/17,Female_Mortality
783,Female,27,Mortality,4/7/17,Female_Mortality
783,Female,19,Mortality,4/7/17,Female_Mortality
786,Female,37,Mortality,4/4/17,Female_Mortality
786,Female,33,Mortality,4/5/17,Female_Mortality
786,Female,39,Mortality,4/2/17,Female_Mortality
790,Female,23,Mortality,4/3/17,Female_Mortality
790,Female,23,Mortality,4/4/17,Female_Mortality
790,Female,27,Mortality,4/7/17,Female_Mortality
796,Female,35,Mortality,4/2/17,Female_Mortality
796,Female,23,Mortality,4/3/17,Female_Mortality
796,Female,29,Mortality,4/4/17,Female_Mortality
801,Female,35,Mortality,4/3/17,Female_Mortality
801,Female,31,Mortality,4/4/17,Female_Mortality
801,Female,27,Mortality,4/7/17,Female_Mortality
802,Female,13,Mortality,4/3/17,Female_Mortality
802,Female,15,Mortality,4/2/17,Female_Mortality
802,Female,7,Mortality,4/7/17,Female_Mortality
805,Female,29,Mortality,4/2/17,Female_Mortality
805,Female,33,Mortality,4/4/17,Female_Mortality
805,Female,23,Mortality,4/7/17,Female_Mortality
808,Female,27,Mortality,4/3/17,Female_Mortality
808,Female,31,Mortality,4/2/17,Female_Mortality
808,Female,21,Mortality,4/5/17,Female_Mortality
818,Female,31,Mortality,4/3/17,Female_Mortality
818,Female,33,Mortality,4/3/17,Female_Mortality
818,Female,33,Mortality,4/4/17,Female_Mortality
820,Female,31,Mortality,4/2/17,Female_Mortality
820,Female,17,Mortality,4/4/17,Female_Mortality
820,Female,27,Mortality,4/5/17,Female_Mortality
821,Female,25,Mortality,4/3/17,Female_Mortality
821,Female,27,Mortality,4/5/17,Female_Mortality
821,Female,9,Mortality,4/2/17,Female_Mortality
822,Female,27,Mortality,4/3/17,Female_Mortality
822,Female,29,Mortality,4/3/17,Female_Mortality
822,Female,15,Mortality,4/7/17,Female_Mortality
832,Female,17,Mortality,4/3/17,Female_Mortality
832,Female,21,Mortality,4/4/17,Female_Mortality
832,Female,13,Mortality,4/5/17,Female_Mortality
843,Female,21,Mortality,4/4/17,Female_Mortality
843,Female,29,Mortality,4/5/17,Female_Mortality
843,Female,15,Mortality,4/7/17,Female_Mortality
852,Female,23,Mortality,4/4/17,Female_Mortality
852,Female,27,Mortality,4/2/17,Female_Mortality
852,Female,23,Mortality,4/4/17,Female_Mortality
853,Female,35,Mortality,4/2/17,Female_Mortality
853,Female,33,Mortality,4/3/17,Female_Mortality
853,Female,29,Mortality,4/5/17,Female_Mortality
855,Female,23,Mortality,4/3/17,Female_Mortality
855,Female,25,Mortality,4/4/17,Female_Mortality
855,Female,23,Mortality,4/5/17,Female_Mortality
859,Female,19,Mortality,4/4/17,Female_Mortality
859,Female,21,Mortality,4/7/17,Female_Mortality
859,Female,17,Mortality,4/2/17,Female_Mortality
879,Female,39,Mortality,4/2/17,Female_Mortality
879,Female,33,Mortality,4/3/17,Female_Mortality
879,Female,35,Mortality,4/7/17,Female_Mortality
897,Female,31,Mortality,4/4/17,Female_Mortality
897,Female,23,Mortality,4/7/17,Female_Mortality
897,Female,35,Mortality,4/2/17,Female_Mortality
913,Female,29,Mortality,4/4/17,Female_Mortality
913,Female,25,Mortality,4/5/17,Female_Mortality
21,Male,27,Mortality,4/4/17,Male_Mortality
21,Male,31,Mortality,4/2/17,Male_Mortality
21,Male,27,Mortality,4/5/17,Male_Mortality
28,Male,15,Mortality,4/3/17,Male_Mortality
28,Male,17,Mortality,4/3/17,Male_Mortality
28,Male,9,Mortality,4/7/17,Male_Mortality
31,Male,19,Mortality,4/4/17,Male_Mortality
31,Male,19,Mortality,4/5/17,Male_Mortality
31,Male,23,Mortality,4/3/17,Male_Mortality
32,Male,11,Mortality,4/2/17,Male_Mortality
32,Male,15,Mortality,4/4/17,Male_Mortality
32,Male,17,Mortality,4/5/17,Male_Mortality
48,Male,19,Mortality,4/3/17,Male_Mortality
48,Male,17,Mortality,4/5/17,Male_Mortality
48,Male,19,Mortality,4/2/17,Male_Mortality
49,Male,23,Mortality,4/2/17,Male_Mortality
49,Male,23,Mortality,4/4/17,Male_Mortality
49,Male,11,Mortality,4/7/17,Male_Mortality
57,Male,21,Mortality,4/2/17,Male_Mortality
57,Male,19,Mortality,4/4/17,Male_Mortality
57,Male,17,Mortality,4/4/17,Male_Mortality
59,Male,25,Mortality,4/7/17,Male_Mortality
59,Male,25,Mortality,4/7/17,Male_Mortality
59,Male,25,Mortality,4/7/17,Male_Mortality
69,Male,19,Mortality,4/3/17,Male_Mortality
69,Male,9,Mortality,4/4/17,Male_Mortality
69,Male,17,Mortality,4/5/17,Male_Mortality
75,Male,13,Mortality,4/3/17,Male_Mortality
75,Male,17,Mortality,4/4/17,Male_Mortality
75,Male,23,Mortality,4/7/17,Male_Mortality
83,Male,31,Mortality,4/3/17,Male_Mortality
83,Male,27,Mortality,4/5/17,Male_Mortality
83,Male,27,Mortality,4/3/17,Male_Mortality
91,Male,33,Mortality,4/4/17,Male_Mortality
91,Male,9,Mortality,4/5/17,Male_Mortality
91,Male,35,Mortality,4/7/17,Male_Mortality
93,Male,23,Mortality,4/3/17,Male_Mortality
93,Male,27,Mortality,4/2/17,Male_Mortality
93,Male,25,Mortality,4/7/17,Male_Mortality
101,Male,23,Mortality,4/3/17,Male_Mortality
101,Male,13,Mortality,4/7/17,Male_Mortality
101,Male,11,Mortality,4/3/17,Male_Mortality
129,Male,29,Mortality,4/3/17,Male_Mortality
129,Male,23,Mortality,4/3/17,Male_Mortality
129,Male,21,Mortality,4/7/17,Male_Mortality
138,Male,19,Mortality,4/3/17,Male_Mortality
138,Male,17,Mortality,4/4/17,Male_Mortality
138,Male,11,Mortality,4/5/17,Male_Mortality
142,Male,13,Mortality,4/3/17,Male_Mortality
142,Male,23,Mortality,4/4/17,Male_Mortality
142,Male,15,Mortality,4/7/17,Male_Mortality
149,Male,31,Mortality,4/2/17,Male_Mortality
149,Male,21,Mortality,4/7/17,Male_Mortality
149,Male,21,Mortality,4/7/17,Male_Mortality
153,Male,19,Mortality,4/3/17,Male_Mortality
153,Male,17,Mortality,4/5/17,Male_Mortality
153,Male,19,Mortality,4/2/17,Male_Mortality
189,Male,33,Mortality,4/2/17,Male_Mortality
189,Male,29,Mortality,4/3/17,Male_Mortality
189,Male,25,Mortality,4/7/17,Male_Mortality
195,Male,15,Mortality,4/2/17,Male_Mortality
195,Male,29,Mortality,4/4/17,Male_Mortality
195,Male,25,Mortality,4/7/17,Male_Mortality
208,Male,13,Mortality,4/3/17,Male_Mortality
208,Male,19,Mortality,4/4/17,Male_Mortality
208,Male,31,Mortality,4/4/17,Male_Mortality
217,Male,19,Mortality,4/3/17,Male_Mortality
217,Male,13,Mortality,4/3/17,Male_Mortality
217,Male,19,Mortality,4/7/17,Male_Mortality
228,Male,19,Mortality,4/2/17,Male_Mortality
228,Male,19,Mortality,4/4/17,Male_Mortality
228,Male,15,Mortality,4/7/17,Male_Mortality
235,Male,21,Mortality,4/3/17,Male_Mortality
235,Male,17,Mortality,4/4/17,Male_Mortality
235,Male,19,Mortality,4/7/17,Male_Mortality
237,Male,11,Mortality,4/7/17,Male_Mortality
237,Male,7,Mortality,4/7/17,Male_Mortality
237,Male,15,Mortality,4/2/17,Male_Mortality
239,Male,17,Mortality,4/4/17,Male_Mortality
239,Male,11,Mortality,4/5/17,Male_Mortality
239,Male,23,Mortality,4/2/17,Male_Mortality
280,Male,27,Mortality,4/3/17,Male_Mortality
280,Male,27,Mortality,4/5/17,Male_Mortality
287,Male,19,Mortality,4/3/17,Male_Mortality
287,Male,23,Mortality,4/4/17,Male_Mortality
287,Male,27,Mortality,4/7/17,Male_Mortality
301,Male,19,Mortality,4/3/17,Male_Mortality
301,Male,25,Mortality,4/5/17,Male_Mortality
301,Male,25,Mortality,4/7/17,Male_Mortality
301,Male,23,Mortality,4/2/17,Male_Mortality
303,Male,21,Mortality,4/7/17,Male_Mortality
303,Male,19,Mortality,4/7/17,Male_Mortality
303,Male,21,Mortality,4/7/17,Male_Mortality
304,Male,27,Mortality,4/3/17,Male_Mortality
304,Male,25,Mortality,4/4/17,Male_Mortality
304,Male,25,Mortality,4/5/17,Male_Mortality
306,Male,9,Mortality,4/4/17,Male_Mortality
306,Male,15,Mortality,4/5/17,Male_Mortality
306,Male,15,Mortality,4/2/17,Male_Mortality
309,Male,29,Mortality,4/4/17,Male_Mortality
309,Male,23,Mortality,4/5/17,Male_Mortality
309,Male,35,Mortality,4/2/17,Male_Mortality
310,Male,27,Mortality,4/3/17,Male_Mortality
310,Male,23,Mortality,4/3/17,Male_Mortality
313,Male,27,Mortality,4/3/17,Male_Mortality
313,Male,27,Mortality,4/3/17,Male_Mortality
313,Male,13,Mortality,4/5/17,Male_Mortality
317,Male,21,Mortality,4/5/17,Male_Mortality
317,Male,25,Mortality,4/7/17,Male_Mortality
317,Male,15,Mortality,4/7/17,Male_Mortality
317,Male,23,Mortality,4/2/17,Male_Mortality
321,Male,27,Mortality,4/2/17,Male_Mortality
321,Male,17,Mortality,4/4/17,Male_Mortality
321,Male,17,Mortality,4/5/17,Male_Mortality
324,Male,17,Mortality,4/4/17,Male_Mortality
324,Male,7,Mortality,4/4/17,Male_Mortality
324,Male,11,Mortality,4/3/17,Male_Mortality
336,Male,15,Mortality,4/7/17,Male_Mortality
336,Male,21,Mortality,4/7/17,Male_Mortality
336,Male,25,Mortality,4/7/17,Male_Mortality
340,Male,23,Mortality,4/4/17,Male_Mortality
340,Male,21,Mortality,4/4/17,Male_Mortality
340,Male,15,Mortality,4/2/17,Male_Mortality
348,Male,17,Mortality,4/5/17,Male_Mortality
348,Male,13,Mortality,4/2/17,Male_Mortality
348,Male,11,Mortality,4/7/17,Male_Mortality
350,Male,19,Mortality,4/3/17,Male_Mortality
350,Male,23,Mortality,4/4/17,Male_Mortality
350,Male,15,Mortality,4/7/17,Male_Mortality
352,Male,33,Mortality,4/2/17,Male_Mortality
352,Male,31,Mortality,4/4/17,Male_Mortality
352,Male,5,Mortality,4/4/17,Male_Mortality
354,Male,29,Mortality,4/2/17,Male_Mortality
354,Male,29,Mortality,4/4/17,Male_Mortality
354,Male,23,Mortality,4/5/17,Male_Mortality
358,Male,17,Mortality,4/2/17,Male_Mortality
358,Male,15,Mortality,4/4/17,Male_Mortality
358,Male,17,Mortality,4/4/17,Male_Mortality
360,Male,19,Mortality,4/3/17,Male_Mortality
360,Male,17,Mortality,4/2/17,Male_Mortality
360,Male,27,Mortality,4/5/17,Male_Mortality
361,Male,11,Mortality,4/4/17,Male_Mortality
361,Male,11,Mortality,4/4/17,Male_Mortality
361,Male,15,Mortality,4/2/17,Male_Mortality
365,Male,29,Mortality,4/3/17,Male_Mortality
365,Male,25,Mortality,4/4/17,Male_Mortality
365,Male,21,Mortality,4/7/17,Male_Mortality
370,Male,17,Mortality,4/3/17,Male_Mortality
370,Male,21,Mortality,4/4/17,Male_Mortality
370,Male,15,Mortality,4/5/17,Male_Mortality
370,Male,17,Mortality,4/4/17,Male_Mortality
370,Male,13,Mortality,4/7/17,Male_Mortality
370,Male,9,Mortality,4/7/17,Male_Mortality
371,Male,19,Mortality,4/5/17,Male_Mortality
371,Male,27,Mortality,4/2/17,Male_Mortality
373,Male,25,Mortality,4/4/17,Male_Mortality
373,Male,21,Mortality,4/4/17,Male_Mortality
373,Male,33,Mortality,4/2/17,Male_Mortality
375,Male,15,Mortality,4/3/17,Male_Mortality
375,Male,15,Mortality,4/4/17,Male_Mortality
375,Male,13,Mortality,4/5/17,Male_Mortality
377,Male,27,Mortality,4/2/17,Male_Mortality
377,Male,29,Mortality,4/4/17,Male_Mortality
377,Male,25,Mortality,4/7/17,Male_Mortality
379,Male,25,Mortality,4/7/17,Male_Mortality
379,Male,15,Mortality,4/7/17,Male_Mortality
379,Male,23,Mortality,4/7/17,Male_Mortality
380,Male,11,Mortality,4/3/17,Male_Mortality
380,Male,11,Mortality,4/3/17,Male_Mortality
380,Male,27,Mortality,4/4/17,Male_Mortality
381,Male,23,Mortality,4/3/17,Male_Mortality
381,Male,27,Mortality,4/4/17,Male_Mortality
381,Male,25,Mortality,4/7/17,Male_Mortality
382,Male,15,Mortality,4/4/17,Male_Mortality
382,Male,25,Mortality,4/7/17,Male_Mortality
382,Male,27,Mortality,4/2/17,Male_Mortality
