line,Sex,rep,Proportion_alive
310,Male,4,0.7
310,Male,5,0.5
313,Male,1,0.9
313,Male,2,0.55555556
313,Male,3,0.875
313,Male,4,0.7
315,Male,1,0.6
315,Male,2,0.77777778
315,Male,3,0.5
315,Male,4,1
318,Male,1,1
318,Male,2,1
318,Male,3,1
318,Male,4,1
318,Male,5,1
320,Male,1,0.33333333
320,Male,2,0.33333333
320,Male,3,0.7
320,Male,4,0.33333333
320,Male,5,0.4
321,Male,1,0.1
321,Male,2,0.5
321,Male,3,0.25
321,Male,4,0.5
321,Male,5,0.4
324,Male,1,0.66666667
324,Male,2,0.88888889
324,Male,3,1
324,Male,4,0.66666667
324,Male,5,1
332,Male,1,1
332,Male,2,1
332,Male,3,1
335,Male,1,1
335,Male,2,1
335,Male,3,0.77777778
335,Male,4,1
335,Male,5,1
338,Male,1,1
338,Male,2,1
338,Male,3,1
338,Male,4,1
338,Male,5,1
340,Male,1,1
340,Male,2,1
340,Male,3,0.875
340,Male,4,0.88888889
340,Male,5,1
350,Male,1,0.9
350,Male,2,1
350,Male,3,1
350,Male,4,0.8
350,Male,5,0.9
356,Male,1,0.55555556
356,Male,2,0.4
356,Male,3,0
356,Male,4,0.55555556
356,Male,5,0.4
357,Male,1,0.44444444
357,Male,2,0.875
357,Male,3,0.4
357,Male,4,0.875
358,Male,1,1
358,Male,2,1
358,Male,3,1
358,Male,4,1
358,Male,5,1
359,Male,1,0.88888889
359,Male,2,1
359,Male,3,1
359,Male,4,1
359,Male,5,1
360,Male,1,0.9
360,Male,2,1
360,Male,3,1
360,Male,4,1
360,Male,5,1
362,Male,1,1
362,Male,2,1
362,Male,3,1
362,Male,4,1
362,Male,5,1
365,Male,1,0.8
365,Male,2,0.875
365,Male,3,0.88888889
365,Male,4,1
365,Male,5,0.88888889
370,Male,1,0.77777778
370,Male,2,0.71428571
370,Male,3,1
370,Male,4,0.4
370,Male,5,0.9
371,Male,1,1
371,Male,2,1
371,Male,3,1
371,Male,4,1
371,Male,5,1
375,Male,1,0.75
375,Male,2,1
375,Male,3,1
375,Male,4,0.5
375,Male,5,1
379,Male,1,0.2
379,Male,2,0.75
379,Male,3,1
379,Male,4,0.875
379,Male,5,0.5
380,Male,1,0.66666667
380,Male,2,0.9
380,Male,3,0.7
380,Male,4,0.88888889
380,Male,5,1
386,Male,1,1
386,Male,2,1
386,Male,3,1
386,Male,4,1
391,Male,1,0
391,Male,2,1
391,Male,3,0.9
391,Male,4,1
392,Male,1,1
392,Male,2,0.88888889
392,Male,3,1
392,Male,4,1
392,Male,5,1
399,Male,1,1
399,Male,2,1
399,Male,3,1
399,Male,4,1
399,Male,5,1
405,Male,1,0.9
405,Male,2,1
405,Male,3,1
405,Male,4,1
405,Male,5,1
406,Male,1,0.2
406,Male,2,0.875
406,Male,3,0.42857143
406,Male,4,0.875
406,Male,5,0.28571429
409,Male,1,1
409,Male,2,1
409,Male,3,0.875
409,Male,4,1
409,Male,5,1
426,Male,1,0.8
426,Male,2,1
426,Male,3,0.55555556
426,Male,4,0.8
426,Male,5,1
427,Male,1,1
427,Male,2,1
427,Male,3,1
427,Male,4,1
427,Male,5,1
437,Male,1,1
437,Male,2,1
437,Male,3,1
437,Male,4,1
439,Male,1,0.375
439,Male,2,1
439,Male,3,0.9
439,Male,4,0.4
439,Male,5,0.7
440,Male,1,1
440,Male,2,1
440,Male,3,1
440,Male,4,1
440,Male,5,1
441,Male,1,0.2
441,Male,2,0.71428571
441,Male,3,0.4
441,Male,4,0.5
441,Male,5,0.1
443,Male,1,0.6
443,Male,2,0.4
443,Male,3,0.55555556
443,Male,4,0.3
443,Male,5,0.77777778
461,Male,1,1
461,Male,2,1
461,Male,3,1
461,Male,4,1
461,Male,5,0.9
486,Male,1,0.9
486,Male,2,1
486,Male,3,0.875
486,Male,4,1
491,Male,1,1
491,Male,2,1
491,Male,3,1
491,Male,4,1
491,Male,5,1
492,Male,1,0.6
492,Male,2,0.85714286
492,Male,3,0.5
492,Male,4,0.55555556
502,Male,1,0.9
502,Male,2,0.9
502,Male,3,1
502,Male,4,0.8
502,Male,5,1
509,Male,1,1
509,Male,2,1
509,Male,3,0.5
509,Male,4,0.7
513,Male,1,1
513,Male,2,1
513,Male,3,1
513,Male,4,0.85714286
517,Male,1,1
517,Male,2,1
517,Male,3,0.9
517,Male,4,1
530,Male,1,1
530,Male,2,0.77777778
530,Male,3,1
530,Male,4,1
530,Male,5,0.75
531,Male,1,0.88888889
531,Male,2,1
535,Male,1,1
535,Male,2,1
535,Male,3,1
535,Male,4,1
535,Male,5,0.875
555,Male,1,0.25
555,Male,2,0.875
555,Male,3,1
555,Male,4,0.9
555,Male,5,1
563,Male,1,0.625
563,Male,2,0.42857143
563,Male,3,0.7
563,Male,4,0.55555556
584,Male,1,0.875
584,Male,2,0.875
584,Male,3,0.66666667
584,Male,4,0.8
589,Male,1,1
589,Male,2,1
589,Male,3,1
589,Male,4,1
589,Male,5,0.77777778
595,Male,1,0.2
595,Male,2,0.4
595,Male,3,0.2
639,Male,1,1
639,Male,2,1
639,Male,3,1
639,Male,4,0.75
646,Male,1,0.88888889
646,Male,2,0.77777778
646,Male,3,1
646,Male,4,1
646,Male,5,0.5
705,Male,1,1
705,Male,2,1
705,Male,3,1
705,Male,4,1
705,Male,5,1
707,Male,1,1
707,Male,2,1
707,Male,3,0.875
707,Male,4,1
707,Male,5,1
712,Male,1,0.55555556
712,Male,2,0.7
712,Male,3,0.8
712,Male,4,0.77777778
712,Male,5,0.77777778
714,Male,1,1
714,Male,2,0.9
714,Male,3,0.625
714,Male,4,0.8
716,Male,1,0.9
716,Male,2,0.9
716,Male,3,1
716,Male,4,1
716,Male,5,1
721,Male,1,1
721,Male,2,1
721,Male,3,1
721,Male,4,0.7
721,Male,5,0.7
727,Male,1,0.8
727,Male,2,0.44444444
727,Male,3,0.77777778
727,Male,4,0.7
727,Male,5,0.5
730,Male,1,0.88888889
730,Male,2,1
730,Male,3,1
730,Male,4,1
732,Male,1,1
732,Male,2,1
732,Male,3,1
732,Male,4,1
732,Male,5,1
737,Male,1,0.2
737,Male,2,0.44444444
737,Male,3,0.55555556
737,Male,4,0.77777778
737,Male,5,0.33333333
748,Male,1,0.88888889
748,Male,2,0.88888889
748,Male,3,0.75
748,Male,4,0.9
757,Male,1,1
757,Male,2,1
757,Male,3,1
757,Male,4,0.83333333
761,Male,1,0.9
761,Male,2,0.75
761,Male,3,0.88888889
761,Male,4,0.75
765,Male,1,0.75
765,Male,2,1
765,Male,3,1
765,Male,4,1
765,Male,5,1
776,Male,1,1
776,Male,2,1
776,Male,3,1
776,Male,4,1
776,Male,5,1
786,Male,1,1
786,Male,2,0.88888889
786,Male,3,0.9
786,Male,4,0.875
786,Male,5,1
787,Male,1,0.8
787,Male,2,0.5
787,Male,3,0.88888889
787,Male,4,1
787,Male,5,0.3
796,Male,1,0.9
796,Male,2,1
796,Male,3,1
796,Male,4,0.9
796,Male,5,0.9
799,Male,1,0
799,Male,2,0.83333333
799,Male,3,0.44444444
799,Male,4,0.22222222
799,Male,5,0.5
801,Male,1,1
801,Male,2,0.8
801,Male,3,1
801,Male,4,1
801,Male,5,0.8
802,Male,1,1
802,Male,2,1
802,Male,3,1
802,Male,4,1
804,Male,1,1
804,Male,2,1
804,Male,3,1
804,Male,4,1
804,Male,5,1
805,Male,1,1
805,Male,2,0.88888889
805,Male,3,1
805,Male,4,0.9
805,Male,5,1
808,Male,1,1
808,Male,2,0.9
808,Male,3,0.88888889
808,Male,4,0.88888889
810,Male,1,1
810,Male,2,1
810,Male,3,1
810,Male,4,1
810,Male,5,1
818,Male,1,0.88888889
818,Male,2,0.55555556
818,Male,3,0.5
818,Male,4,1
818,Male,5,0.5
819,Male,1,0.9
819,Male,2,1
819,Male,3,1
820,Male,1,0.75
820,Male,2,0.6
820,Male,3,1
820,Male,4,0.6
821,Male,1,0.6
821,Male,2,0.8
821,Male,3,0.55555556
821,Male,4,0.77777778
821,Male,5,0.5
832,Male,1,0.2
832,Male,2,0.3
832,Male,3,0.4
832,Male,4,0.66666667
832,Male,5,0.1
843,Male,1,0.88888889
843,Male,2,1
843,Male,3,0.9
843,Male,4,0.9
843,Male,5,1
850,Male,1,1
850,Male,2,1
850,Male,3,1
850,Male,4,1
850,Male,5,1
852,Male,1,0.3
852,Male,2,0.7
852,Male,3,1
852,Male,4,0.9
