Date,Block,Rep,Line,LatCop,promiscuity,minuslogLatCop
8-Feb,5,1,358,15.5,9,-1.1903317
8-Feb,5,1,307,22.5,5,-1.3521825
8-Feb,5,1,765,8,7,-0.90309
8-Feb,5,1,712,12,5,-1.0791812
8-Feb,5,1,707,67,8,-1.8260748
8-Feb,5,1,820,27.5,9,-1.4393327
8-Feb,5,1,555,62.5,10,-1.79588
8-Feb,5,2,486,24.5,9,-1.3891661
8-Feb,5,2,362,8,9,-0.90309
8-Feb,5,2,315,7,9,-0.845098
8-Feb,5,2,639,11,6,-1.0413927
8-Feb,5,2,301,45.5,10,-1.6580114
8-Feb,5,2,399,8.5,6,-0.9294189
8-Feb,5,2,304,12.5,9,-1.09691
8-Feb,5,2,427,30,7,-1.4771213
8-Feb,5,2,380,9,8,-0.9542425
8-Feb,5,2,517,51,9,-1.7075702
8-Feb,5,2,335,9,9,-0.9542425
8-Feb,5,2,324,16,10,-1.20412
8-Feb,5,2,799,78.5,9,-1.8948697
8-Feb,5,2,208,6,7,-0.7781513
8-Feb,5,2,391,3,7,-0.4771213
8-Feb,5,2,774,5,10,-0.69897
8-Feb,5,2,360,7.5,7,-0.8750613
8-Feb,5,2,714,15,9,-1.1760913
8-Feb,5,2,705,9,8,-0.9542425
8-Feb,5,2,437,3.5,9,-0.544068
8-Feb,5,2,313,23,8,-1.3617278
8-Feb,5,2,730,75,7,-1.8750613
8-Feb,5,2,379,14.5,10,-1.161368
8-Feb,5,2,375,21.5,9,-1.3324385
8-Feb,5,2,365,14,9,-1.146128
8-Feb,5,2,358,15.5,9,-1.1903317
8-Feb,5,2,307,20.5,9,-1.3117539
8-Feb,5,2,765,21.5,6,-1.3324385
8-Feb,5,2,712,8.5,4,-0.9294189
8-Feb,5,2,707,120,7,-2.0791812
8-Feb,5,2,820,91,10,-1.9590414
8-Feb,5,2,555,30.5,6,-1.4842998
