ID,MappingPanel,line,Genotype Bloomington,RepVial,CaffeineResistance
30854,DGRP,85,28274,1,8.333333333
30855,DGRP,85,28274,1,20.35
30856,DGRP,85,28274,1,29.23333333
29047,DGRP,88,28135,1,13.5
29048,DGRP,88,28135,1,80.95
29049,DGRP,88,28135,1,26.43333333
29050,DGRP,88,28135,1,75.43333333
29051,DGRP,88,28135,1,100.3666667
29052,DGRP,88,28135,1,70.51666667
29053,DGRP,88,28135,1,16.66666667
29054,DGRP,88,28135,1,83.28333333
29055,DGRP,88,28135,1,83.76666667
29056,DGRP,88,28135,1,107.2166667
29057,DGRP,88,28135,1,60.15
29058,DGRP,88,28135,1,92.36666667
29059,DGRP,88,28135,1,69.91666667
29060,DGRP,88,28135,1,101.1
29061,DGRP,88,28135,1,82.36666667
29062,DGRP,88,28135,1,99.4
29063,DGRP,91,28136,1,87.6
29064,DGRP,91,28136,1,97.5
29065,DGRP,91,28136,1,109.3833333
29066,DGRP,91,28136,1,89.73333333
29067,DGRP,91,28136,1,76.08333333
29068,DGRP,91,28136,1,94.28333333
29069,DGRP,91,28136,1,54.18333333
29070,DGRP,91,28136,1,75.58333333
29071,DGRP,91,28136,1,69.53333333
29072,DGRP,91,28136,1,86.68333333
29073,DGRP,91,28136,1,44.76666667
29074,DGRP,91,28136,1,75.8
29075,DGRP,91,28136,1,87.43333333
29076,DGRP,93,28137,1,77.2
29077,DGRP,93,28137,1,104.35
29078,DGRP,93,28137,1,85.33333333
29079,DGRP,93,28137,1,110.9333333
29080,DGRP,93,28137,1,78.71666667
29081,DGRP,93,28137,1,42.21666667
29082,DGRP,93,28137,1,80.7
29083,DGRP,93,28137,1,97.66666667
29084,DGRP,93,28137,1,77.3
29085,DGRP,93,28137,1,65.78333333
29086,DGRP,93,28137,1,97.96666667
29087,DGRP,93,28137,1,87.78333333
29088,DGRP,93,28137,1,85.58333333
29089,DGRP,93,28137,1,91.26666667
29090,DGRP,93,28137,1,79.95
29091,DGRP,105,28139,1,53.16666667
29092,DGRP,105,28139,1,47.46666667
29093,DGRP,105,28139,1,17.55
29094,DGRP,105,28139,1,12.35
29095,DGRP,105,28139,1,20.4
29096,DGRP,105,28139,1,7.966666667
29097,DGRP,105,28139,1,55.9
29098,DGRP,105,28139,1,19.38333333
29099,DGRP,105,28139,1,60.18333333
29100,DGRP,105,28139,1,17.36666667
29101,DGRP,105,28139,1,16.16666667
29102,DGRP,105,28139,1,28
29103,DGRP,105,28139,1,14.55
29104,DGRP,105,28139,1,17.16666667
29105,DGRP,105,28139,1,16.25
29106,DGRP,105,28139,1,24
29107,DGRP,109,28140,1,89.16666667
29108,DGRP,109,28140,1,44.5
29109,DGRP,109,28140,1,94.55
29110,DGRP,109,28140,1,92.75
29111,DGRP,109,28140,1,46.93333333
29112,DGRP,109,28140,1,20.85
29113,DGRP,109,28140,1,38.11666667
29114,DGRP,109,28140,1,20.26666667
29115,DGRP,109,28140,1,51.6
29116,DGRP,109,28140,1,90.86666667
29117,DGRP,109,28140,1,10.41666667
29118,DGRP,109,28140,1,29.61666667
29119,DGRP,109,28140,1,100.5166667
29120,DGRP,109,28140,1,36.1
29121,DGRP,109,28140,1,116.9833333
29122,DGRP,129,28141,1,37.2
29123,DGRP,129,28141,1,62.61666667
29124,DGRP,129,28141,1,53.33333333
29125,DGRP,129,28141,1,10.13333333
29126,DGRP,129,28141,1,45.26666667
29127,DGRP,129,28141,1,48.83333333
29128,DGRP,129,28141,1,25.66666667
29129,DGRP,129,28141,1,31.9
29130,DGRP,129,28141,1,45.33333333
29131,DGRP,129,28141,1,37.71666667
29132,DGRP,129,28141,1,50.86666667
29133,DGRP,129,28141,1,52.58333333
29134,DGRP,129,28141,1,26.65
29135,DGRP,129,28141,1,43.41666667
29136,DGRP,129,28141,1,49.48333333
29137,DGRP,138,28143,1,80
29138,DGRP,138,28143,1,59.9
29139,DGRP,138,28143,1,50.9
29140,DGRP,138,28143,1,23.51666667
