line,life-span (hr) on 1.5% boric acid
RAL69,24.31666667
RAL69,41.95
RAL69,26.85
RAL69,34.23333333
RAL69,33.28333333
RAL69,27.66666667
RAL69,26.71666667
RAL69,47.58333333
RAL69,40.45
RAL69,16.73333333
RAL73,27.26666667
RAL73,11.86666667
RAL73,31.25
RAL73,14.26666667
RAL73,6.616666667
RAL73,14.23333333
RAL73,20.45
RAL73,22.73333333
RAL73,24.96666667
RAL73,37.41666667
RAL73,22.71666667
RAL73,21.63333333
RAL73,29.08333333
RAL73,14.58333333
RAL75,52.68333333
RAL75,58.28333333
RAL75,63.45
RAL75,75.25
RAL75,59.63333333
RAL75,42.41666667
RAL75,84.21666667
RAL75,62.28333333
RAL75,89.7
RAL75,51.81666667
RAL75,61.75
RAL75,43.48333333
RAL75,62.05
RAL75,68.93333333
RAL75,83.73333333
RAL75,44.51666667
RAL83,52.48333333
RAL83,28.38333333
RAL83,36.78333333
RAL83,31.51666667
RAL83,33.55
RAL83,41.25
RAL83,32.71666667
RAL83,38
RAL83,36.75
RAL83,54.5
RAL83,41.13333333
RAL83,46.56666667
RAL83,51.06666667
RAL83,40.66666667
RAL83,33.15
RAL83,39.85
RAL88,39.53333333
RAL88,60.46666667
RAL88,46.2
RAL88,49.31666667
RAL88,51.78333333
RAL88,60.63333333
RAL88,54.31666667
RAL88,47.6
RAL88,40.95
RAL88,40.63333333
RAL88,44.91666667
RAL88,47.26666667
RAL88,48.53333333
RAL88,49.51666667
RAL88,45.41666667
RAL88,48.76666667
RAL91,70.56666667
RAL91,89.36666667
RAL91,69.73333333
RAL91,53.98333333
RAL91,67.9
RAL91,71.58333333
RAL91,82.83333333
RAL91,67.85
RAL91,81.13333333
RAL91,55.13333333
RAL91,65.65
RAL91,85.81666667
RAL91,81.13333333
RAL91,91.7
RAL91,85.98333333
RAL91,59.53333333
RAL93,87.9
RAL93,55.91666667
RAL93,87.38333333
RAL93,51.26666667
RAL93,53.98333333
RAL93,50.31666667
RAL93,49.55
RAL93,43.01666667
RAL93,26.73333333
RAL93,38.55
RAL93,50.08333333
RAL93,40.11666667
RAL93,38.68333333
RAL93,56.68333333
RAL93,52.3
RAL93,45.41666667
RAL101,37.28333333
RAL101,61.1
RAL101,39.33333333
RAL101,63.51666667
RAL101,39.01666667
RAL101,48.96666667
RAL101,40.66666667
RAL101,66.36666667
RAL101,50.86666667
RAL101,38.78333333
RAL101,44.4
RAL101,24.18333333
RAL101,25.51666667
RAL101,37.41666667
RAL101,27.56666667
RAL101,53.76666667
RAL105,35.95
RAL105,40.58333333
RAL105,43.23333333
RAL105,67.96666667
RAL105,51.4
RAL105,41.51666667
RAL105,39.53333333
RAL105,49.7
RAL105,42.31666667
RAL105,37.25
RAL109,21.98333333
RAL109,25.13333333
RAL109,23.61666667
RAL109,30.51666667
RAL109,21.15
RAL109,26.2
RAL109,24.01666667
RAL109,18.93333333
RAL109,30.08333333
RAL109,36.33333333
RAL109,28.15
RAL109,31.85
RAL109,31.15
RAL109,39.9
RAL109,28.83333333
RAL109,35.73333333
RAL129,32.58333333
RAL129,36.26666667
RAL129,38.76666667
RAL129,31.76666667
RAL129,44.45
RAL129,32.33333333
RAL129,24.7
RAL129,34.75
RAL129,29.61666667
RAL129,34.6
RAL129,43.26666667
RAL129,40.08333333
RAL129,40.05
RAL129,48.93333333
RAL129,34.08333333
RAL129,26.18333333
RAL136,43.71666667
RAL136,46.55
RAL136,32.51666667
RAL136,32
RAL136,29.46666667
RAL136,50.71666667
RAL136,31.08333333
RAL136,40.56666667
RAL136,36.88333333
RAL136,30.13333333
RAL136,57.71666667
RAL136,36.06666667
RAL136,26.7
RAL136,47.35
RAL136,44.08333333
RAL136,40.06666667
RAL138,77.9
RAL138,82.58333333
RAL138,65.65
RAL138,68.35
RAL138,41.43333333
RAL138,64.75
RAL138,89.75
RAL138,66.48333333
RAL138,71.41666667
RAL138,44.51666667
RAL138,49.9
RAL138,94.71666667
RAL138,83.1
RAL138,81.23333333
RAL138,93.91666667
RAL138,69.25
RAL142,47.36666667
RAL142,36.36666667
RAL142,54.28333333
RAL142,58.1
RAL142,59.66666667
RAL142,39
RAL142,65.21666667
RAL142,30.08333333
RAL142,38.95
RAL142,66.23333333
RAL142,33
RAL142,53.78333333
RAL142,43.36666667
RAL142,55.25
RAL142,35.51666667
RAL142,49.08333333
RAL149,52.83333333
RAL149,44.93333333
RAL149,40.25
RAL149,68.98333333
RAL149,46.71666667
RAL149,57.26666667
RAL149,48.45
RAL149,72.05
RAL149,55.5
RAL149,33.91666667
RAL149,42.86666667
RAL149,59.63333333
RAL149,63.13333333
RAL149,56.41666667
RAL149,50.75
RAL149,39.96666667
RAL153,30.25
RAL153,40.21666667
RAL153,45.53333333
RAL153,37
RAL153,69.76666667
RAL153,25.75
RAL153,43.51666667
RAL153,52.2
RAL153,36.6
RAL153,54.63333333
RAL153,55.83333333
RAL153,57.5
RAL153,42.81666667
RAL153,55.75
RAL153,49.36666667
RAL153,52.61666667
RAL158,56.2
RAL158,80.61666667
RAL158,49.41666667
RAL158,69.13333333
RAL158,45.51666667
RAL158,45.3
RAL158,45.7
RAL158,78.3
RAL158,77.18333333
RAL158,33.25
RAL158,41.01666667
RAL158,58.18333333
RAL158,83.38333333
RAL158,54.56666667
RAL158,56.06666667
RAL158,57.51666667
RAL161,19.98333333
RAL161,14.3
RAL161,18.6
RAL161,22.15
RAL161,21.51666667
RAL161,18.03333333
RAL161,19.93333333
RAL161,18.71666667
RAL161,23.23333333
RAL161,19.85
