Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
2,19,4,5,223,5,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,33,27,3,0,0,0,0,0,0,0,0
2,23,4,2,223,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,33,27,3,0,0,0,0,0,0,0,0
2,24,1,5,223,10,2,2,2,2,2,2,5,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,51,12,17,0,0,1,0,0,0,1,0
2,15,1,9,223,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,2,41,22,7,0,0,1,0,0,0,1,0
2,17,3,5,223,3,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,6,24,0,0,0,0,0,0,0,0
2,22,3,10,223,8,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,5,2,2,2,2,2,2,2,49,14,15,0,0,1,0,0,0,1,0
2,23,3,9,227,9,2,2,2,2,5,2,3,4,5,2,2,1,1,1,4,5,3,5,5,4,2,3,2,1,1,2,2,2,2,2,79,5,14,3,3,5,0,0,0,5,0
2,17,3,8,227,3,5,5,6,5,6,6,5,5,5,5,5,2,5,5,5,6,1,5,7,5,2,1,1,2,5,2,1,5,2,3,123,4,5,1,0,15,4,1,0,20,1
2,19,1,1,227,5,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,5,5,5,5,3,5,3,3,3,3,5,6,5,83,7,10,5,0,7,1,0,0,8,0
2,24,2,2,227,10,2,2,1,3,3,3,5,3,3,5,5,3,3,5,3,6,3,6,3,3,3,3,3,6,2,1,2,6,3,5,104,2,4,15,0,5,4,0,0,9,0
2,17,1,5,228,3,2,2,2,2,2,1,1,2,5,5,4,7,1,2,2,5,2,2,1,2,1,1,1,4,1,1,1,1,1,1,65,13,11,0,2,3,0,1,0,4,1
2,18,4,1,228,4,2,2,2,7,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,43,22,7,0,0,0,0,1,0,1,1
2,24,3,5,228,9,2,5,4,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,52,13,15,0,1,1,0,0,0,1,0
2,15,4,6,229,1,2,4,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,25,4,0,1,0,0,0,0,0,0
2,16,2,4,229,2,2,2,5,1,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,23,4,2,0,1,0,0,0,1,0
2,28,2,4,229,12,2,2,2,2,1,2,2,2,5,2,2,2,3,2,2,1,4,5,1,1,1,1,1,1,1,1,3,3,5,5,67,10,12,3,1,4,0,0,0,4,0
2,15,2,9,233,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,35,26,3,1,0,0,0,0,0,0,0
2,22,2,9,233,7,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,41,19,11,0,0,0,0,0,0,0,0
2,18,1,1,233,3,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,52,8,22,0,0,0,0,0,0,0,0
2,16,1,4,233,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,5,3,2,3,5,2,3,5,3,3,3,3,3,3,3,69,10,7,10,0,3,0,0,0,3,0
2,26,4,6,233,11,2,2,1,5,2,5,5,5,5,2,1,3,5,5,3,2,5,5,2,2,1,2,2,1,1,5,5,5,5,5,99,5,9,2,0,14,0,0,0,14,0
3,33,4,7,235,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,28,2,0,0,0,0,0,0,0,0
3,31,2,1,237,4,2,1,1,1,1,1,1,5,1,7,5,5,5,5,5,5,6,5,5,5,7,5,5,5,6,6,7,5,7,5,130,7,1,0,0,15,3,4,0,22,4
3,38,4,8,239,10,5,2,5,6,5,5,6,6,5,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,89,13,4,0,0,10,3,0,0,13,0
3,38,4,7,256,9,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,25,5,0,0,0,0,0,0,0,0
3,33,2,9,256,5,2,1,7,1,2,2,6,5,5,7,6,7,7,6,5,5,6,7,6,5,7,7,6,7,6,7,7,7,2,2,156,2,5,0,0,5,7,11,0,23,11
3,31,3,4,256,3,3,3,2,2,2,2,2,3,5,2,2,2,2,2,2,5,2,2,4,4,5,4,5,2,1,2,5,2,2,5,86,1,17,3,3,6,0,0,0,6,0
