line,Sex,Lifespan_hrs
RAL-443,Male,96.8
RAL-443,Male,122.083333
RAL-443,Male,122.083333
RAL-443,Male,122.083333
RAL-443,Male,122.083333
RAL-443,Male,134.108333
RAL-443,Male,145.266667
RAL-443,Male,157.3
RAL-443,Male,157.3
RAL-315,Female,122.141667
RAL-315,Female,122.141667
RAL-315,Female,122.141667
RAL-315,Female,134.15
RAL-315,Female,134.15
RAL-315,Female,134.15
RAL-315,Female,134.15
RAL-315,Female,145.3
RAL-315,Female,145.3
RAL-315,Female,145.3
RAL-138,Female,157.725
RAL-138,Female,157.725
RAL-138,Female,183.675
RAL-138,Female,183.675
RAL-138,Female,183.675
RAL-138,Female,194.383333
RAL-138,Female,194.383333
RAL-138,Female,209.683333
RAL-138,Female,222.833333
RAL-138,Female,231.025
RAL-320,Female,157.941667
RAL-320,Female,157.941667
RAL-320,Female,157.941667
RAL-320,Female,157.941667
RAL-320,Female,170.983333
RAL-320,Female,170.983333
RAL-320,Female,170.983333
RAL-320,Female,183.825
RAL-320,Female,183.825
RAL-320,Female,200.258333
RAL-801,Female,85.6083333
RAL-801,Female,109.266667
RAL-801,Female,109.266667
RAL-801,Female,134.566667
RAL-801,Female,134.566667
RAL-801,Female,134.566667
RAL-801,Female,134.566667
RAL-801,Female,145.708333
RAL-801,Female,145.708333
RAL-801,Female,145.708333
RAL-320,Male,109.291667
RAL-320,Male,122.591667
RAL-320,Male,122.591667
RAL-320,Male,122.591667
RAL-320,Male,134.591667
RAL-320,Male,134.591667
RAL-320,Male,134.591667
RAL-320,Male,145.733333
RAL-320,Male,145.733333
RAL-320,Male,145.733333
RAL-320,Female,157.883333
RAL-320,Female,157.883333
RAL-320,Female,170.916667
RAL-320,Female,170.916667
RAL-320,Female,170.916667
RAL-320,Female,170.916667
RAL-320,Female,183.808333
RAL-320,Female,183.808333
RAL-320,Female,183.808333
RAL-320,Female,183.808333
RAL-801,Male,85.6083333
RAL-801,Male,97.3
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,109.266667
RAL-801,Male,122.566667
RAL-181,Male,88.7333333
RAL-181,Male,88.7333333
RAL-181,Male,88.7333333
RAL-181,Male,88.7333333
RAL-181,Male,102.033333
RAL-181,Male,114.058333
RAL-181,Male,114.058333
RAL-181,Male,114.058333
RAL-908,Female,149.991667
RAL-908,Female,149.991667
RAL-908,Female,149.991667
RAL-908,Female,162.925
RAL-908,Female,162.925
RAL-908,Female,162.925
RAL-908,Female,173.625
RAL-908,Female,173.625
RAL-908,Female,179.4
RAL-908,Female,188.958333
RAL-229,Male,64.8416667
RAL-229,Male,76.55
RAL-229,Male,88.5583333
RAL-229,Male,88.5583333
RAL-229,Male,101.85
RAL-229,Male,101.85
RAL-229,Male,113.875
RAL-229,Male,113.875
RAL-229,Male,136.908333
RAL-229,Male,162.883333
RAL-88,Female,113.891667
RAL-88,Female,125.033333
RAL-88,Female,136.925
RAL-88,Female,149.958333
RAL-88,Female,149.958333
RAL-88,Female,149.958333
RAL-88,Female,149.958333
RAL-88,Female,149.958333
RAL-88,Female,162.908333
RAL-88,Female,162.908333
RAL-228,Male,65.025
RAL-228,Male,65.025
RAL-228,Male,65.025
RAL-228,Male,65.025
RAL-228,Male,65.025
RAL-228,Male,76.7416667
RAL-228,Male,76.7416667
RAL-228,Male,88.7416667
RAL-228,Male,88.7416667
RAL-228,Male,88.7416667
RAL-217,Male,88.6333333
RAL-217,Male,101.925
RAL-217,Male,101.925
RAL-217,Male,125.083333
RAL-217,Male,136.991667
RAL-217,Male,136.991667
RAL-217,Male,136.991667
RAL-217,Male,150.016667
RAL-217,Male,150.016667
RAL-217,Male,150.016667
RAL-732,Male,76.5
RAL-732,Male,76.5
RAL-732,Male,88.5083333
RAL-732,Male,88.5083333
RAL-732,Male,88.5083333
RAL-732,Male,101.8
RAL-732,Male,101.8
RAL-732,Male,101.8
RAL-732,Male,113.816667
RAL-732,Male,149.875
RAL-153,Female,88.7416667
RAL-153,Female,102.033333
RAL-153,Female,125.191667
RAL-153,Female,137.075
RAL-153,Female,137.075
RAL-153,Female,163.066667
RAL-153,Female,163.066667
RAL-153,Female,163.066667
RAL-153,Female,173.766667
RAL-153,Female,179.558333
RAL-812,Male,136.983333
RAL-812,Male,136.983333
RAL-812,Male,150.008333
RAL-812,Male,162.975
RAL-812,Male,162.975
RAL-812,Male,173.666667
RAL-812,Male,179.458333
RAL-812,Male,189.016667
RAL-812,Male,189.016667
RAL-812,Male,189.016667
RAL-774,Male,64.8583333
RAL-774,Male,76.575
RAL-774,Male,88.575
RAL-774,Male,88.575
RAL-774,Male,88.575
RAL-774,Male,101.866667
RAL-774,Male,113.883333
RAL-774,Male,113.883333
RAL-774,Male,113.883333
RAL-774,Male,113.883333
RAL-228,Female,102.033333
RAL-228,Female,102.033333
RAL-228,Female,114.058333
RAL-228,Female,114.058333
RAL-228,Female,114.058333
RAL-228,Female,125.191667
RAL-228,Female,125.191667
RAL-228,Female,137.083333
RAL-228,Female,137.083333
RAL-228,Female,137.083333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,88.6833333
RAL-853,Male,101.966667
RAL-853,Male,101.966667
RAL-786,Male,101.791667
RAL-786,Male,136.85
RAL-786,Male,136.85
RAL-786,Male,136.85
RAL-786,Male,136.85
RAL-786,Male,136.85
RAL-786,Male,136.85
RAL-786,Male,149.875
RAL-786,Male,162.825
RAL-786,Male,162.825
RAL-315,Male,76.5916667
RAL-315,Male,88.6
RAL-315,Male,88.6
RAL-315,Male,88.6
RAL-315,Male,101.891667
RAL-315,Male,101.891667
RAL-315,Male,113.908333
RAL-315,Male,113.908333
RAL-315,Male,113.908333
RAL-315,Male,125.041667
RAL-818,Male,125.216667
RAL-818,Male,125.216667
RAL-818,Male,137.116667
RAL-818,Male,137.116667
RAL-818,Male,137.116667
RAL-818,Male,137.116667
RAL-818,Male,150.141667
RAL-818,Male,150.141667
RAL-818,Male,150.141667
RAL-91,Male,64.95
RAL-91,Male,64.95
RAL-91,Male,76.6583333
RAL-91,Male,76.6583333
RAL-91,Male,88.6666667
RAL-91,Male,88.6666667
RAL-91,Male,88.6666667
RAL-91,Male,101.958333
RAL-91,Male,101.958333
RAL-91,Male,101.958333
RAL-712,Female,101.816667
RAL-712,Female,113.85
RAL-712,Female,113.85
RAL-712,Female,113.85
RAL-712,Female,113.85
RAL-712,Female,113.85
RAL-712,Female,113.85
RAL-712,Female,136.883333
RAL-712,Female,136.883333
RAL-712,Female,136.883333
RAL-853,Female,88.675
RAL-853,Female,88.675
RAL-853,Female,113.991667
RAL-853,Female,125.125
RAL-853,Female,125.125
RAL-853,Female,125.125
RAL-853,Female,125.125
RAL-853,Female,137.016667
RAL-853,Female,137.016667
RAL-853,Female,137.016667
RAL-360,Male,88.775
RAL-360,Male,88.775
RAL-360,Male,88.775
RAL-360,Male,88.775
RAL-360,Male,88.775
RAL-360,Male,114.091667
RAL-360,Male,114.091667
RAL-360,Male,114.091667
RAL-360,Male,114.091667
RAL-360,Male,114.091667
RAL-85,Female,113.966667
RAL-85,Female,113.966667
RAL-85,Female,113.966667
RAL-85,Female,125.1
RAL-85,Female,125.1
RAL-85,Female,125.1
RAL-85,Female,136.991667
RAL-85,Female,136.991667
RAL-85,Female,150.025
RAL-85,Female,162.983333
RAL-93,Male,113.85
RAL-93,Male,113.85
RAL-93,Male,113.85
RAL-93,Male,124.991667
RAL-93,Male,124.991667
RAL-93,Male,124.991667
RAL-93,Male,136.875
RAL-93,Male,136.875
RAL-93,Male,136.875
RAL-93,Male,136.875
RAL-93,Male,149.9
RAL-256,Female,125
RAL-256,Female,136.9
RAL-256,Female,136.9
RAL-256,Female,136.9
RAL-256,Female,149.933333
RAL-256,Female,149.933333
RAL-256,Female,149.933333
RAL-256,Female,162.875
RAL-256,Female,173.566667
RAL-256,Female,179.341667
RAL-360,Female,114.091667
RAL-360,Female,114.091667
RAL-360,Female,114.091667
RAL-360,Female,114.091667
RAL-360,Female,137.116667
RAL-360,Female,150.141667
RAL-360,Female,150.141667
RAL-360,Female,163.1
RAL-360,Female,163.1
RAL-360,Female,189.141667
RAL-85,Male,88.6666667
RAL-85,Male,101.95
RAL-85,Male,101.95
RAL-85,Male,101.95
RAL-85,Male,101.95
RAL-85,Male,101.95
RAL-85,Male,113.966667
RAL-85,Male,113.966667
RAL-85,Male,113.966667
RAL-85,Male,125.108333
RAL-882,Female,125.016667
RAL-882,Female,136.916667
RAL-882,Female,136.916667
RAL-882,Female,149.95
RAL-882,Female,162.891667
RAL-882,Female,162.891667
RAL-882,Female,162.891667
RAL-882,Female,162.891667
RAL-882,Female,162.891667
RAL-882,Female,162.891667
RAL-850,Male,88.4916667
RAL-850,Male,101.791667
RAL-850,Male,113.808333
RAL-850,Male,113.808333
RAL-850,Male,113.808333
RAL-850,Male,124.95
RAL-850,Male,124.95
RAL-850,Male,136.85
RAL-850,Male,173.516667
RAL-217,Female,149.983333
