line,sex,time
21,female,28.61
21,female,117.06
21,female,31.78
21,female,48.39
21,female,47.9
21,female,96.48
21,female,26.14
21,female,19.62
21,female,23.84
21,female,33.25
21,female,78.49
21,female,19.17
21,female,42.52
21,female,42.31
21,female,51.43
21,female,36
21,female,19.95
21,female,68.94
21,female,73.99
26,female,0
26,female,0
26,female,130.32
26,female,29.16
26,female,3.06
26,female,65.82
26,female,16.82
26,female,0
26,female,12.12
26,female,25.55
26,female,21.62
26,female,0
26,female,31.92
26,female,12.65
26,female,0
26,female,64.09
26,female,21.19
26,female,56.05
26,female,15.18
26,female,12.8
28,female,59.95
28,female,30.08
28,female,104.19
28,female,101.08
28,female,28.39
28,female,118.13
28,female,64.49
28,female,75.93
28,female,45.96
28,female,33.7
28,female,71.53
28,female,93.94
28,female,0
28,female,89.76
28,female,80.62
28,female,16.85
28,female,4.92
28,female,23.9
28,female,5.29
28,female,0
31,female,35.47
31,female,32.56
31,female,68.49
31,female,95.34
31,female,85.2
31,female,53.05
31,female,59.92
31,female,0
31,female,28.21
31,female,12.21
31,female,75.69
31,female,10.82
31,female,67.66
31,female,91.77
31,female,29.83
31,female,26.29
31,female,29.25
31,female,30.83
31,female,81.84
31,female,21.65
31,female,73.81
32,female,106.63
32,female,20.48
32,female,10.64
32,female,18.26
32,female,14.81
32,female,11.24
32,female,30.42
32,female,20.59
32,female,14.64
32,female,33.1
32,female,61.38
32,female,22.22
32,female,6.87
32,female,30.42
32,female,24.04
32,female,20.76
32,female,20.3
32,female,0
32,female,9.76
32,female,12.26
38,female,69.83
38,female,69.54
38,female,21.02
38,female,69.5
38,female,39.94
38,female,70.68
38,female,86.23
38,female,52.79
38,female,24.67
38,female,58.91
38,female,53.4
38,female,92.26
38,female,39
38,female,91.96
38,female,85.6
38,female,70.52
38,female,53.32
38,female,118.99
38,female,81.06
38,female,13.81
40,female,118.45
40,female,70.92
40,female,55.43
40,female,68.08
40,female,67.33
40,female,84.02
40,female,62.23
40,female,56.52
40,female,45.93
40,female,69.7
40,female,0
40,female,79.93
40,female,57.96
40,female,54.75
40,female,58.5
40,female,75.17
40,female,86.18
40,female,93.99
40,female,82.92
40,female,141
41,female,99.66
41,female,163.91
41,female,139.23
41,female,110.7
41,female,90.8
41,female,102.01
41,female,38.68
41,female,63.43
41,female,110.77
41,female,87.27
41,female,76.32
41,female,0
41,female,73.22
41,female,16.59
41,female,15.59
41,female,30.7
41,female,113.2
41,female,3.46
41,female,33.35
41,female,59.83
42,female,28.87
42,female,92.33
42,female,75.95
42,female,72.29
42,female,74.51
42,female,84.2
42,female,91.22
42,female,58.92
42,female,139.57
42,female,115.23
42,female,71.59
42,female,83.84
42,female,37.94
42,female,76.92
42,female,68.09
42,female,88.5
42,female,76.73
42,female,81.64
42,female,71.09
42,female,43.88
45,female,38.05
45,female,92.71
45,female,25.97
45,female,0
45,female,18.91
45,female,49.19
45,female,6.54
45,female,0
45,female,40.28
45,female,0
45,female,19.2
45,female,49.6
45,female,5.51
45,female,48.21
45,female,16.48
45,female,71.73
45,female,64.94
45,female,108.16
45,female,25.17
45,female,12.54
48,female,0
48,female,0
48,female,0
48,female,0
48,female,11.26
48,female,25.84
48,female,0
48,female,0
48,female,0
48,female,33.76
48,female,4.5
48,female,41.52
48,female,0
48,female,11.15
48,female,0
48,female,46.73
48,female,11.63
48,female,59.86
48,female,36.13
48,female,41.66
49,female,73.77
49,female,57.08
49,female,105.98
49,female,54.53
49,female,115.14
49,female,7.47
49,female,72.3
49,female,81.75
49,female,0
49,female,83.94
49,female,82.06
49,female,94.5
49,female,80.8
49,female,56.28
49,female,0
49,female,111.4
49,female,35.1
49,female,55.53
49,female,30.33
49,female,19.47
57,female,51.84
57,female,87.05
57,female,126.67
57,female,67.15
57,female,92.02
57,female,47.42
57,female,137.57
57,female,61.52
57,female,143.79
57,female,80.96
57,female,88.17
57,female,56.08
57,female,101.26
57,female,33.38
57,female,72.91
57,female,53.2
57,female,58.76
57,female,3.54
57,female,47.31
57,female,11.96
59,female,60.15
59,female,45.79
59,female,43.97
59,female,67.13
59,female,90.27
59,female,74.83
59,female,41.02
59,female,16.3
59,female,77.78
59,female,38.29
59,female,42.13
59,female,79.96
59,female,70.85
59,female,80.49
59,female,34.06
59,female,73.78
59,female,27.49
59,female,62.33
59,female,156.89
59,female,70.81
69,female,10.31
69,female,60.9
69,female,24.47
69,female,0
69,female,77.52
69,female,60.97
69,female,29.38
69,female,96.11
69,female,49.23
69,female,0
69,female,4.02
69,female,5.24
69,female,22.69
69,female,8.08
69,female,7.58
69,female,10.47
69,female,85.93
69,female,0
69,female,29.2
69,female,10.58
73,female,6.38
73,female,66.8
73,female,42.36
73,female,26.17
73,female,57.8
73,female,24.1
73,female,51.14
73,female,0
73,female,38.98
73,female,0
73,female,56.2
73,female,69.38
73,female,0
73,female,0
73,female,33.92
73,female,0
73,female,0
73,female,58.79
73,female,6.4
75,female,20.79
75,female,70.98
75,female,37.57
75,female,153.96
75,female,40.71
75,female,95.65
75,female,20.82
75,female,19.43
75,female,39.48
75,female,18.55
75,female,91.03
75,female,13.22
75,female,59.87
75,female,1.04
75,female,12.29
75,female,81.29
75,female,45.21
75,female,25.77
75,female,91.14
75,female,12.3
75,female,0
83,female,15.19
83,female,14.89
83,female,36.17
83,female,25.73
83,female,30.91
83,female,140.03
83,female,87.7
83,female,108.91
83,female,114.14
83,female,141.63
83,female,143.07
83,female,100.64
83,female,77.08
83,female,155.22
83,female,160.81
83,female,143.96
83,female,50.52
83,female,138.02
83,female,141.27
83,female,138.51
83,female,60.68
83,female,149.76
83,female,83.12
83,female,85.98
83,female,108.91
85,female,10.36
85,female,1.23
85,female,0
85,female,7.84
85,female,0
85,female,0
85,female,0
85,female,0
85,female,0
85,female,0
85,female,0
85,female,0
85,female,70.3
85,female,0
85,female,0
85,female,40.4
85,female,0
85,female,4.79
85,female,0
85,female,0
88,female,112.81
88,female,82.97
88,female,91.16
88,female,54.67
88,female,29.6
88,female,65.4
88,female,96.67
88,female,87.62
88,female,73.95
88,female,65.44
88,female,127.91
88,female,62.63
88,female,147.76
88,female,119.18
88,female,111.18
88,female,40.13
88,female,100.65
88,female,104.23
88,female,40.39
88,female,43.14
91,female,44.82
91,female,169.51
91,female,106.92
91,female,100.81
91,female,30.92
91,female,43.89
91,female,75
91,female,11.9
91,female,49.9
91,female,30.65
91,female,31.59
91,female,80.89
91,female,60.39
91,female,77.56
91,female,21.79
91,female,75.91
91,female,23.17
91,female,49.43
91,female,2.96
91,female,78.95
91,female,26.01
93,female,27.22
93,female,52.25
93,female,150.68
93,female,44.9
93,female,46.39
93,female,53.07
93,female,17.78
93,female,56.41
93,female,39.6
93,female,55.69
93,female,173.65
93,female,62.39
93,female,86.93
93,female,70.12
93,female,88.31
93,female,50.42
93,female,130.6
93,female,75.31
93,female,30.07
93,female,86.99
100,female,43.36
100,female,52.1
100,female,99.21
100,female,100.08
100,female,48.51
100,female,57.3
100,female,1.61
100,female,42.62
100,female,39.33
100,female,93.84
100,female,53.27
100,female,9.8
100,female,21.45
100,female,18.27
100,female,10.68
100,female,5.4
100,female,3.25
100,female,34.06
100,female,11.54
100,female,24.25
100,female,23.76
100,female,26.1
301,female,74.94
301,female,120.18
301,female,74.04
301,female,52.42
301,female,40.82
301,female,79.03
301,female,65.11
301,female,72.18
301,female,97.01
301,female,84.27
301,female,113.57
301,female,67.1
301,female,106.83
301,female,72.02
301,female,58.02
301,female,13.77
301,female,32.27
301,female,23.41
301,female,45.88
301,female,40.11
303,female,12.13
303,female,84.58
303,female,66.6
303,female,140.36
303,female,116.35
303,female,0
303,female,41.53
303,female,140.79
303,female,93.94
303,female,128.62
303,female,123.85
303,female,66.13
303,female,95.68
303,female,118.53
303,female,53.9
303,female,2.89
303,female,66.08
303,female,128.77
303,female,36.6
303,female,47.74
304,female,0
304,female,19.81
304,female,43.79
304,female,0
304,female,68.39
304,female,2.01
304,female,64.06
304,female,16.29
304,female,33.58
304,female,14.65
304,female,25.92
304,female,69.03
304,female,12.14
304,female,38.65
304,female,64.44
304,female,12.05
304,female,37.58
304,female,16.11
304,female,7.52
304,female,0.93
306,female,33.31
306,female,30.29
306,female,19.02
306,female,0
306,female,10.38
306,female,0
306,female,0
306,female,67.33
306,female,6.27
306,female,25.52
306,female,44.21
306,female,16.52
306,female,26.56
306,female,40.44
306,female,66.54
306,female,9.95
306,female,33.23
306,female,0
306,female,8.71
306,female,16.76
307,female,70.82
307,female,36.1
307,female,43.02
307,female,27.54
307,female,57.6
307,female,2.24
307,female,21.17
307,female,127.02
307,female,37.37
307,female,31.61
307,female,43.68
307,female,6.85
307,female,59.98
307,female,93.34
307,female,76.18
307,female,18.98
307,female,47.25
307,female,23.98
307,female,53.09
307,female,59.48
309,female,10.81
309,female,28.19
309,female,44.71
309,female,16.83
309,female,34.36
309,female,31.86
309,female,24.76
309,female,26.16
309,female,38.72
309,female,31.65
309,female,16.65
309,female,19.96
309,female,45.31
309,female,23.76
309,female,25.18
309,female,26.31
309,female,14.28
309,female,28.4
309,female,9.24
309,female,9.98
310,female,84.23
310,female,0
310,female,5.53
310,female,0
310,female,0
310,female,40.81
310,female,0
310,female,39.16
310,female,0
310,female,63.26
310,female,141.39
310,female,41.78
310,female,0
310,female,126.54
310,female,0
310,female,125.1
310,female,58.66
310,female,0
310,female,0
310,female,3.46
313,female,4.34
313,female,26.97
313,female,22.11
313,female,32.11
313,female,34.55
313,female,83.3
313,female,23.57
313,female,31.4
313,female,40.26
313,female,60.91
313,female,21.76
313,female,43.67
313,female,19.87
313,female,84.47
313,female,59.24
313,female,25.4
313,female,69.15
313,female,55.44
313,female,12.8
313,female,39.1
315,female,47.62
315,female,23.63
315,female,10.24
315,female,15.94
315,female,9.24
315,female,10.8
315,female,70.19
315,female,17.5
315,female,7.55
315,female,38.36
315,female,16.88
315,female,28.41
315,female,51.43
315,female,25.6
315,female,65.09
315,female,18.79
315,female,24.15
315,female,40.8
315,female,18.12
315,female,40.25
317,female,0
317,female,0
317,female,51.43
317,female,0
317,female,107.36
317,female,30.68
317,female,0
317,female,95.11
317,female,40.85
317,female,92.93
317,female,21.7
317,female,12.92
317,female,25.88
317,female,6.78
317,female,0
317,female,60.03
317,female,14.94
317,female,104.74
317,female,6.67
317,female,60.42
318,female,24.42
318,female,16.26
318,female,31.35
318,female,26.03
318,female,18.48
318,female,18.96
318,female,77.86
318,female,62.09
318,female,60.18
318,female,5.79
318,female,43.05
318,female,57.08
318,female,18.1
318,female,11.4
318,female,17.1
318,female,64.09
318,female,61.27
318,female,124.28
318,female,16.05
318,female,6.71
319,female,45.72
319,female,37.79
319,female,33.93
319,female,6.37
319,female,28.4
319,female,8.2
319,female,47.47
319,female,57.12
319,female,13.12
319,female,7.64
319,female,27.17
319,female,37.88
319,female,0
319,female,37.38
319,female,20.71
319,female,87.47
319,female,17.15
319,female,15.18
319,female,33.65
319,female,0
320,female,19.62
320,female,5.47
320,female,9.88
320,female,9.09
320,female,49.59
320,female,19.11
320,female,34.41
320,female,20.71
320,female,48.22
320,female,38.51
320,female,18.6
320,female,45.89
320,female,20.26
320,female,27.16
320,female,7.7
320,female,36.03
320,female,52.73
320,female,35.24
320,female,22.85
320,female,59.82
321,female,41.46
321,female,9.08
321,female,22.43
321,female,37.81
321,female,2.67
321,female,19.01
321,female,40.53
321,female,6.78
321,female,11.24
321,female,49.23
321,female,48.92
321,female,35.12
321,female,14.78
321,female,11.67
321,female,36.96
321,female,26.6
321,female,9.29
321,female,25.2
321,female,21.01
321,female,0
324,female,25.56
324,female,8.61
324,female,38.35
324,female,82.25
324,female,32.62
324,female,46.63
324,female,74.72
324,female,42.27
324,female,29.73
324,female,3.7
324,female,4.66
324,female,93.04
324,female,22.47
324,female,16.75
324,female,13.66
324,female,16.66
324,female,0
324,female,14.21
324,female,8.18
324,female,9.51
324,female,5.65
324,female,11.93
324,female,9.02
324,female,19.36
324,female,0
332,female,66.8
332,female,13.67
332,female,17.99
332,female,22.56
332,female,60.97
332,female,8.72
332,female,20.04
332,female,46.88
332,female,15.38
332,female,1.75
332,female,5.3
332,female,43.03
332,female,7.28
332,female,21.47
332,female,5.17
332,female,10.75
332,female,12.82
332,female,65.06
332,female,9.37
332,female,17.41
335,female,4.05
335,female,9.35
335,female,89.11
335,female,0
335,female,80.52
335,female,0
335,female,0
335,female,9.56
335,female,67.51
335,female,9.88
335,female,0
335,female,0
335,female,17.04
335,female,59.21
335,female,0
335,female,80.51
335,female,18.43
335,female,2.89
335,female,14.71
335,female,3.79
336,female,46.32
336,female,17.9
336,female,12.47
336,female,23.05
336,female,33.19
336,female,26.93
336,female,30.5
336,female,71.62
336,female,22.97
336,female,1.66
336,female,17.13
336,female,47.4
336,female,26.29
336,female,62.86
336,female,27.34
336,female,67.05
336,female,63.58
336,female,41.42
336,female,39.21
336,female,8.46
338,female,51.71
338,female,107.56
338,female,69.15
338,female,50.96
338,female,98.12
338,female,58.9
338,female,91.84
338,female,78.58
338,female,43.09
338,female,62.23
338,female,72.33
338,female,10.14
338,female,66.62
338,female,49.84
338,female,28.94
338,female,54.09
338,female,18.77
338,female,23.39
338,female,15.6
338,female,26.57
340,female,24.77
340,female,36.13
340,female,39.67
340,female,53.03
340,female,42.32
340,female,6.27
340,female,27.01
340,female,20.63
340,female,135.41
340,female,19.69
340,female,25.02
340,female,33.96
340,female,29.29
340,female,21.46
340,female,14.01
340,female,13.57
340,female,52.81
340,female,42.7
340,female,24.92
340,female,43.26
348,female,25.36
348,female,4.46
348,female,26.12
348,female,19.53
348,female,16.9
348,female,30.75
348,female,54.67
348,female,12.55
348,female,68.51
348,female,40.08
348,female,47.21
348,female,21.67
348,female,29.18
348,female,15.73
348,female,2.65
348,female,0
348,female,37.81
348,female,37.41
348,female,6.35
348,female,0
348,female,22.75
348,female,20.53
348,female,8.98
348,female,37.23
348,female,33.7
348,female,8.93
348,female,15.4
348,female,9.56
348,female,10.77
348,female,26.46
350,female,28.81
350,female,139.73
350,female,37.68
350,female,0
350,female,29.69
350,female,5.87
350,female,0
350,female,20.97
350,female,87.61
350,female,50.46
350,female,162.84
350,female,14.82
350,female,60.95
350,female,111.8
350,female,43.49
350,female,56.13
350,female,53.02
350,female,93.92
350,female,53.67
350,female,66.54
352,female,10.23
352,female,41.42
352,female,0
352,female,32.79
352,female,88.78
352,female,0
352,female,113.05
352,female,39.07
352,female,17.4
352,female,64.46
352,female,0
352,female,12.38
352,female,14.35
352,female,83.95
352,female,41.14
352,female,18.49
352,female,55.88
352,female,11.29
352,female,14.02
352,female,140.94
354,female,23.91
354,female,68.99
354,female,34.66
354,female,26.29
354,female,7.78
354,female,23.98
354,female,26.11
354,female,72.15
354,female,89.65
354,female,2.96
354,female,54.36
354,female,13.48
354,female,48.29
354,female,27.1
354,female,0
354,female,94.96
354,female,30.03
354,female,12.82
354,female,47.39
354,female,38.74
356,female,64.48
356,female,79.11
356,female,31.85
356,female,13.77
356,female,40.34
356,female,10.94
356,female,20.5
356,female,10.52
356,female,63.89
356,female,54.41
356,female,0
356,female,0
356,female,57.41
356,female,84.69
356,female,12.57
356,female,25.81
356,female,14.57
356,female,18.92
356,female,9.93
356,female,29.4
357,female,26.2
357,female,59.34
357,female,0
357,female,22.19
357,female,0
357,female,0
357,female,0
357,female,45.86
357,female,24.32
357,female,26.92
357,female,45.33
357,female,71.12
357,female,166.84
357,female,44.15
357,female,109.12
357,female,53.96
357,female,0
357,female,51.79
357,female,0
357,female,103.44
358,female,10.75
358,female,19.3
358,female,66.08
358,female,16.95
358,female,7.18
358,female,18.36
358,female,20.23
358,female,26.58
358,female,18.47
358,female,29.24
358,female,17.2
358,female,9.04
358,female,6.36
358,female,11.12
358,female,0.88
358,female,15.95
358,female,32.06
358,female,31.87
358,female,11.4
358,female,12.34
359,female,17.2
359,female,90.34
359,female,80.79
359,female,0
359,female,35.96
359,female,67.72
359,female,21.9
359,female,4.41
359,female,0.98
359,female,65.29
359,female,17.54
359,female,64.43
359,female,16.34
359,female,44.78
359,female,50.12
359,female,0
359,female,9.81
359,female,77.65
359,female,59.33
359,female,4.74
360,female,23.98
360,female,19.75
360,female,2.6
360,female,5.08
360,female,4.49
360,female,23.34
360,female,12.25
360,female,12.75
360,female,10.5
360,female,62.18
360,female,13.51
360,female,9.2
360,female,41.33
360,female,16.04
360,female,18.11
360,female,32.9
360,female,26.85
360,female,27.56
360,female,9.82
360,female,38.86
361,female,41.8
361,female,7.33
361,female,82.32
361,female,37.09
361,female,9.28
361,female,66.93
361,female,52.92
361,female,41.61
361,female,25.38
361,female,7.57
361,female,60.5
361,female,21.89
361,female,3.42
361,female,6.83
361,female,8.85
361,female,55.54
361,female,4.93
361,female,35.99
361,female,102.42
361,female,17.99
362,female,11.55
362,female,114.75
362,female,23.94
362,female,45.68
362,female,113.28
362,female,52.17
362,female,16.79
362,female,131.13
362,female,10
362,female,64.48
362,female,37.41
362,female,55.32
362,female,96.54
362,female,70.75
362,female,50.91
362,female,112.73
362,female,59.36
362,female,50.35
362,female,62.19
362,male,69.26
365,female,19.92
365,female,25.69
365,female,44.26
365,female,33.33
365,female,31.87
365,female,52.96
365,female,36.27
365,female,54.83
365,female,40.69
365,female,30.99
365,female,61.62
365,female,53.05
365,female,21.54
365,female,29.43
365,female,43.56
365,female,31.71
365,female,50.59
365,female,18.26
365,female,29.21
365,female,33.87
367,female,121.84
367,female,72.45
367,female,35.76
367,female,24.61
367,female,7.87
367,female,110.14
367,female,107.03
367,female,39.49
367,female,0
367,female,68.89
367,female,31.2
367,female,11.24
367,female,74.72
367,female,107.24
367,female,45.39
367,female,63.89
367,female,94.83
367,female,13.02
367,female,65.31
367,female,79.52
370,female,0
370,female,31.26
370,female,85.2
370,female,0
370,female,22.02
370,female,19.27
370,female,6.46
370,female,0
370,female,14.92
370,female,0
370,female,49.78
370,female,2.9
370,female,0
370,female,16.29
370,female,0
370,female,14.03
370,female,0.93
370,female,10.88
370,female,7.98
370,female,0
371,female,6.87
371,female,39.43
371,female,52.29
371,female,1.24
371,female,25.92
371,female,44.47
371,female,39.43
371,female,59.65
371,female,0
371,female,32.99
371,female,8.47
371,female,23.95
371,female,16.02
371,female,12.91
371,female,20.05
371,female,27.81
371,female,31.25
371,female,13.85
371,female,50.72
371,female,25.34
373,female,66.13
373,female,39.39
373,female,39.13
