Trait,R_diff,sd,2.5%,97.5%,Trait_Sex
FBgn0039337,-0.032349920000000004,0.12571340927355723,-0.27707661000000006,0.2162936374999999,Female
FBgn0039338,-0.22762900000000003,0.1249347083256543,-0.46867580000000003,0.018479082499999917,Female
FBgn0039339,-0.04376575,0.1269960800816315,-0.291967345,0.20778790749999967,Female
FBgn0039342,0.14001429999999998,0.12532585375008803,-0.10781938075,0.383096175,Female
FBgn0039343,-0.11162545,0.12415856352415586,-0.3526099175,0.13440248250000003,Female
FBgn0039344,0.13756544999999998,0.129196977772643,-0.12346411500000001,0.383913975,Female
FBgn0039346,0.044410439999999995,0.12816933436575847,-0.2118200825,0.28457205499999993,Female
FBgn0039347,-0.1153071,0.12620662143044833,-0.35700237500000004,0.13813523175,Female
FBgn0039348,0.1130512,0.12565066805062747,-0.1311581025,0.3596906249999999,Female
FBgn0039349,0.18688203999999997,0.12926532950877395,-0.071557885,0.4381887,Female
FBgn0039350,-0.08360625,0.1249181144391771,-0.32324411249999996,0.16909007774999973,Female
FBgn0039354,0.028944449999999997,0.126711369494754,-0.21946343,0.27515589999999995,Female
FBgn0039355,0.18395015,0.12649948006751643,-0.06851533749999998,0.42545142499999966,Female
FBgn0039356,-0.072615665,0.12974633585676226,-0.3244599225,0.18056474825,Female
FBgn0039357,0.025152699999999997,0.12887823233264736,-0.22593112250000003,0.2772374975,Female
FBgn0039358,0.0777159,0.12549062323809632,-0.16600304,0.32467454999999995,Female
FBgn0039359,-0.014625249999999996,0.1286946311197721,-0.2687899175,0.2397778254999999,Female
FBgn0039360,0.08900965000000001,0.12672393197035045,-0.16100381500000002,0.33249432999999995,Female
FBgn0039366,-0.24845193999999998,0.12145201302932722,-0.48359290000000005,-0.003277115000000049,Female
FBgn0039367,0.06306305000000001,0.12534977616566784,-0.1849549925,0.311714025,Female
FBgn0039368,0.0914132,0.12890554940482346,-0.162973685,0.34477974249999976,Female
FBgn0039369,-0.031293995000000005,0.12723184315386837,-0.2782994925,0.2166035965,Female
FBgn0039370,0.06617495,0.12782096820417405,-0.179312155,0.31940672499999995,Female
FBgn0039371,0.13388224999999998,0.12693499010259296,-0.11763833999999998,0.3831372249999999,Female
FBgn0039373,-0.022480035,0.1276635977270943,-0.27157763749999997,0.2286968732499999,Female
FBgn0039374,0.16141764999999997,0.12422459207385979,-0.0858107525,0.402973475,Female
FBgn0039376,-0.0642148,0.12394226323218632,-0.3003668575,0.18268827999999993,Female
FBgn0039378,-0.03628350000000001,0.12444751826691126,-0.2848781125,0.2085220474999999,Female
FBgn0039379,-0.008029250000000002,0.1280332608456992,-0.25646361,0.24472843749999998,Female
FBgn0039380,0.08107689500000001,0.1296670556693433,-0.17281610249999999,0.3312810174999999,Female
FBgn0039381,0.11694374999999999,0.1250132047868695,-0.126550405,0.3604892799999998,Female
FBgn0039385,-0.0890893,0.12825777195472876,-0.3405461925,0.16493439249999992,Female
FBgn0039386,-0.15437828,0.12693504931141164,-0.4002023,0.09466346494999986,Female
FBgn0039387,-0.1642788,0.12429676337397721,-0.4034014675,0.08259762499999995,Female
FBgn0039395,0.09684184000000001,0.12897057740562026,-0.15892882775,0.342377675,Female
FBgn0039396,-0.07510185,0.12680858175817733,-0.32449528749999995,0.17497608999999997,Female
FBgn0039398,0.045455725,0.1397495324518863,-0.22516143749999995,0.3185363675,Female
FBgn0039402,0.03522802,0.12888653842198955,-0.21433942,0.2907788999999999,Female
FBgn0039403,-0.1461689,0.12650663704541892,-0.39257954999999994,0.10888334249999995,Female
FBgn0039404,-0.32519195,0.12466688154039081,-0.5596974499999999,-0.08041971000000002,Female
FBgn0039406,-0.08763535,0.12460152078388569,-0.3343350975,0.15737431,Female
FBgn0039407,-0.30352025,0.1254284524213312,-0.5439289999999999,-0.045883765000000035,Female
FBgn0039408,0.10020019999999999,0.1250014313730532,-0.1443503975,0.340492925,Female
FBgn0039411,0.06022999999999999,0.12499934076881485,-0.18375033749999997,0.30227665749999977,Female
FBgn0039413,-0.02935855,0.12660601377625252,-0.27685684250000003,0.21776527999999987,Female
FBgn0039415,0.09243800499999999,0.12613166145237698,-0.15827625324999997,0.33124934749999985,Female
