Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0010041,0.04665405,0.06486347258066526,-0.08289040125000001,0.16965190124999996,Female
FBgn0010042,0.11562372500000001,0.06630815682922422,-0.020199879999999986,0.24098001249999992,Female
FBgn0010043,0.0419999975,0.0628378064905419,-0.080355664375,0.16458330624999995,Female
FBgn0010044,0.083415025,0.06083497170931135,-0.036831538625,0.20148969999999974,Female
FBgn0010051,-0.014980529999999999,0.06399008619988325,-0.14111275999999998,0.1086183124999998,Female
FBgn0010052,0.060707300000000006,0.06456722403296204,-0.06745405,0.184589095,Female
FBgn0010053,-0.020134575,0.06340312036480505,-0.14224287624999998,0.10453066424999999,Female
FBgn0010078,-0.10195532499999999,0.061300656374564416,-0.2175268125,0.020895000749999965,Female
FBgn0010097,0.1246129325,0.06279267285217642,-7.295646499999906e-4,0.2427744499999998,Female
FBgn0010100,0.026983749999999997,0.063935959957262,-0.09847628475,0.15130355649999996,Female
FBgn0010105,-0.011925249999999995,0.062311301567839636,-0.13516603375,0.10854907499999995,Female
FBgn0010109,0.0151735,0.0640424894496683,-0.10996558375,0.14251035,Female
FBgn0010113,0.017847000000000002,0.06369115063904952,-0.10651504625000001,0.14295802474999997,Female
FBgn0010114,-0.06519132250000001,0.06333298032131879,-0.18931027499999997,0.05948223299999995,Female
FBgn0010173,0.038128974999999996,0.06296044871227133,-0.08851919249999998,0.16050054999999994,Female
FBgn0010194,-0.036452462500000005,0.06260374180833782,-0.15765694624999999,0.08655752874999997,Female
FBgn0010197,0.12700185,0.06336923639546523,0.003223286250000005,0.24805502499999996,Female
FBgn0010198,-0.027520624999999993,0.06338708205337334,-0.14820688537499999,0.09687171499999998,Female
FBgn0010213,0.00971175,0.06378536349030343,-0.11363888875000001,0.13491889249999992,Female
FBgn0010215,0.11947447500000001,0.06349337993791994,-0.008900612499999997,0.23914559999999996,Female
FBgn0010217,-0.053937377499999994,0.06441509439446486,-0.17974963000000002,0.07471322249999997,Female
FBgn0010220,-0.029560424999999994,0.0646097581450137,-0.15609895375000002,0.09807830312499995,Female
FBgn0010222,-0.0598044175,0.0631532613314601,-0.1849597125,0.06414185249999996,Female
FBgn0010223,0.09781685,0.06315599372490964,-0.029958018874999992,0.2175298874999999,Female
FBgn0010225,-0.154533025,0.06048033502549656,-0.2695635625,-0.033440062500000006,Female
FBgn0010226,0.009727125,0.06485205668656774,-0.11760596125,0.1337833762499999,Female
FBgn0010228,0.003449250000000001,0.062140074636011663,-0.11881324375,0.12454495124999991,Female
FBgn0010235,-0.048741925,0.06291302440363207,-0.173356775,0.07396174874999999,Female
