DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_100,Exp 2,20,18,2
line_93,Exp 2,20,20,0
line_91,Exp 2,20,20,0
line_88,Exp 2,20,20,0
line_85,Exp 2,20,14,6
line_83,Exp 2,20,13,7
line_75,Exp 2,20,20,0
line_73,Exp 2,20,20,0
line_69,Exp 2,19,19,0
line_59,Exp 2,20,20,0
line_57,Exp 2,20,18,2
line_48,Exp 2,19,19,0
line_45,Exp 2,20,20,0
line_42,Exp 2,,,
line_41,Exp 2,19,19,0
line_40,Exp 2,21,21,0
line_38,Exp 2,20,20,0
line_32,Exp 2,20,20,0
line_31,Exp 2,20,19,1
line_28,Exp 2,,,
line_26,Exp 2,19,19,0
line_21,Exp 2,20,20,0
line_913,Exp 3,5,0,5
line_911,Exp 3,20,20,0
line_908,Exp 3,,,
line_907,Exp 3,19,4,15
line_900,Exp 3,18,17,1
line_897,Exp 3,20,7,13
line_894,Exp 3,6,6,0
line_892,Exp 3,20,19,1
line_890,Exp 3,20,20,0
line_887,Exp 3,19,19,0
line_884,Exp 3,5,5,0
line_882,Exp 3,20,17,3
line_879,Exp 3,14,0,14
line_861,Exp 3,19,19,0
line_859,Exp 3,18,16,2
line_857,Exp 3,,,
line_855,Exp 3,10,9,1
line_853,Exp 3,17,12,5
line_852,Exp 3,,,
line_850,Exp 3,13,13,0
line_849,Exp 3,12,8,4
line_843,Exp 3,19,4,15
line_837,Exp 3,20,7,13
line_832,Exp 3,20,9,11
line_822,Exp 3,21,18,3
line_821,Exp 3,19,17,2
line_820,Exp 3,20,19,1
line_819,Exp 3,20,18,2
line_818,Exp 3,20,20,0
line_812,Exp 3,20,20,0
line_810,Exp 3,20,12,8
line_808,Exp 3,20,20,0
line_805,Exp 3,11,11,0
line_804,Exp 3,15,15,0
line_802,Exp 3,19,19,0
line_801,Exp 3,20,20,0
line_799,Exp 3,14,12,2
line_796,Exp 3,19,0,19
line_790,Exp 3,19,0,19
line_787,Exp 3,19,6,13
line_786,Exp 3,17,2,15
line_783,Exp 3,12,12,0
line_776,Exp 3,9,6,3
line_774,Exp 3,20,2,18
line_765,Exp 3,16,16,0
line_761,Exp 3,20,20,0
line_757,Exp 3,10,4,6
line_748,Exp 3,,,
line_738,Exp 3,15,15,0
line_737,Exp 3,16,9,7
line_732,Exp 3,15,15,0
line_730,Exp 3,15,0,15
line_727,Exp 3,18,18,0
line_721,Exp 3,20,20,0
line_716,Exp 3,21,21,0
line_714,Exp 3,8,7,1
line_712,Exp 3,15,0,15
line_707,Exp 3,15,15,0
line_705,Exp 3,8,1,7
line_703,Exp 3,9,9,0
line_646,Exp 3,,,
line_642,Exp 3,,,
line_639,Exp 3,19,9,10
line_634,Exp 3,19,0,19
line_630,Exp 3,,,
line_627,Exp 3,13,9,4
line_596,Exp 3,,,
line_595,Exp 3,10,10,0
line_589,Exp 3,8,0,8
line_584,Exp 3,20,14,6
line_566,Exp 3,21,19,2
line_563,Exp 3,,,
line_559,Exp 3,20,11,9
line_555,Exp 3,20,20,0
line_551,Exp 3,19,6,13
line_535,Exp 3,20,9,11
line_531,Exp 3,,,
line_530,Exp 3,20,10,10
line_528,Exp 3,,,
line_517,Exp 3,20,20,0
line_513,Exp 3,,,
line_509,Exp 3,,,
line_508,Exp 3,4,1,3
line_505,Exp 3,19,15,4
line_502,Exp 3,10,10,0
line_492,Exp 3,7,7,0
line_491,Exp 3,7,0,7
line_486,Exp 3,20,19,1
line_461,Exp 3,16,16,0
line_443,Exp 3,15,7,8
line_441,Exp 3,20,15,5
line_440,Exp 3,18,18,0
line_439,Exp 3,18,18,0
line_437,Exp 3,,,
line_427,Exp 3,18,18,0
line_426,Exp 3,16,16,0
line_409,Exp 3,17,17,0
line_406,Exp 3,20,19,1
line_405,Exp 3,20,17,3
line_399,Exp 3,19,18,1
line_397,Exp 3,14,14,0
line_395,Exp 3,8,8,0
line_392,Exp 3,20,11,9
line_391,Exp 3,,,
line_390,Exp 3,14,5,9
line_386,Exp 3,16,16,0
line_385,Exp 3,19,19,0
line_383,Exp 3,19,19,0
line_382,Exp 3,15,8,7
line_381,Exp 3,11,10,1
line_380,Exp 3,20,18,2
line_379,Exp 3,12,8,4
line_377,Exp 3,10,10,0
line_375,Exp 3,,,
line_374,Exp 3,20,20,0
line_373,Exp 3,20,17,3
line_371,Exp 3,19,17,2
